Sutra krama सू. क्र. सं	Akaaraadi krama अकारादि क्र. सं	Kaumudi krama कौमुदी क्र. सं	Sutra type सूत्रलक्षणम्‌	Term संज्ञा	Special case अतिदेशः	Influence अधिकारः	Commentary व्याख्यानम्‌	Sutra text सूत्रम्‌	PadacCheda पद्च्छेदः
11001	3288	16	संज्ञा	वृद्धिः			Sktdocs-1.1.1; AVG-1.1.1	वृद्धिरादैच् ।	वृद्धिः १/१ आदैच् १/१
11002	134	17	संज्ञा	गुणः			Sktdocs-1.1.2; AVG-1.1.2	अदेङ् गुणः ।	अदेङ् १/१ गुणः १/१
11003	595	34	परिभाषा				Sktdocs-1.1.3; AVG-1.1.3	इको गुणवृद्धी ।	इकः ६/१ गुणवृद्धी १/२
11004	2034	2656					Sktdocs-1.1.4; AVG-1.1.4	न धातुलोप आर्धधातुके ।	न ०/० धातुलोपे ७/१ आर्धधातुके ७/१
11005	1335	2217					Sktdocs-1.1.5; AVG-1.1.5	ग्क्ङिति च ।	क्क्ङिति ७/१ च ०/०
11006	1876	2190					Sktdocs-1.1.6; AVG-1.1.6	दीधीवेवीटाम् ।	दीधीवेवीटाम् ६/३
11007	3926	30	संज्ञा	संयोगः			Sktdocs-1.1.7; AVG-1.1.7	हलोऽनन्तराः संयोगः ।	हलः १/३ अनन्तराः १/३ संयोगः१/१
11008	2787	9	संज्ञा	अनुनासिकः			Sktdocs-1.1.8; AVG-1.1.8	मुखनासिकावचनोऽनुनासिकः ।	मुखनासिकावचनः १/१ अनुनासिकः १/१
11009	1759	10	संज्ञा	सवर्णम्‌			Sktdocs-1.1.9; AVG-1.1.9	तुल्यास्यप्रयत्नं सवर्णम् ।	तुल्यास्यप्रयत्नं १/१ सवर्णम् १/१
11010	2141	13	संज्ञा	सवर्णम्‌			Sktdocs-1.1.10; AVG-1.1.10	नाज्झलौ ।	न् ०/० अज्झलौ १/१२
11011	683	100	संज्ञा	प्रगृह्यम्‌			Sktdocs-1.1.11; AVG-1.1.11	ईदूदेद्द्विवचनं प्रगृह्यम् ।	ईदूदेद् १/१ द्विवचनं १/१ प्रगृह्यम् १/१
11012	129	101	संज्ञा	प्रगृह्यम्‌			Sktdocs-1.1.12; AVG-1.1.12	अदसो मात् ।	अदसः ६/१ मात् ५/१
11013	3424	102	संज्ञा	प्रगृह्यम्‌			Sktdocs-1.1.13; AVG-1.1.13	शे ।	शे (लुप्तप्रथमान्तो निर्देशः)
11014	2190	103	संज्ञा	प्रगृह्यम्‌			Sktdocs-1.1.14; AVG-1.1.14	निपात एकाजनाङ् ।	निपातः १/१ एकाच् १/१ अनाङ् १/१
11015	936	104	संज्ञा	प्रगृह्यम्‌			Sktdocs-1.1.15; AVG-1.1.15	ओत् ।	ओत् १/१
11016	3665	105	संज्ञा	प्रगृह्यम्‌			Sktdocs-1.1.16; AVG-1.1.16	सम्बुद्धौ शाकल्यस्येतावनार्षे ।	सम्बुद्धौ ७/१ शाकल्यस्य ६/१ इतौ ७/१ अनार्षे ७/१
11017	702	106	संज्ञा	प्रगृह्यम्‌			Sktdocs-1.1.17; AVG-1.1.17	उञः ।	उञः ६/१
11018	829	107	संज्ञा	प्रगृह्यम्‌			Sktdocs-1.1.18; AVG-1.1.18	ऊँ ।	ऊँ (लुप्तविभक्तिकम्)
