Sutra krama:Akaaraadi krama:Kaumudi krama,Sutra,PadacCheda,Sutra krama
11002:134:17,अदेङ् गुणः,अदेङ्+गुणः,11002
11006:1876:2190,दीधीवेवीटाम्,दीधीवेवीटाम्,11006
11009:1759:10,तुल्यास्यप्रयत्नं सवर्णम्,तुल्यास्यप्रयत्नं+सवर्णम्,11009
11011:683:100,ईदूदेद्द्विवचनं प्रगृह्यम्,ईदूदेद्+द्विवचनं+प्रगृह्यम्,11011
11013:3424:102,शे,शे,11013
11015:936:104,ओत्,ओत्,11015
11017:702:106,उञः,उञः,11017
11018:829:107,ऊँ,ऊँ,11018
11019:682:109,ईदूतौ च सप्तम्यर्थे,ईदूतौ+च+सप्तम्यर्थे,11019
11022:1674:2003,तरप्तमपौ घः,तरप्तमपौ+घः,11022
11023:2583:258,बहुगणवतुडति संख्या,बहुगणवतुडति+संख्या,11023
11024:3500:369,ष्णान्ता षट्,ष्णान्ता+षट्,11024
11025:1569:259,डति च,डति+च,11025
11026:1177:3012,क्तक्तवतू निष्ठा,क्तक्तवतू+निष्ठा,11026
11027:3690:213,सर्वादीनि सर्वनामानि,सर्वादीनि+सर्वनामानि,11027
11028:3206:292,विभाषा दिक्समासे बहुव्रीहौ,विभाषा+दिक्समासे+बहुव्रीहौ,11028
11029:2045:222,न बहुव्रीहौ,न+बहुव्रीहौ,11029
11030:1775:223,तृतीयासमासे,तृतीयासमासे,11030
11031:1941:224,द्वन्द्वे च,द्वन्द्वे+च,11031
11032:3202:225,विभाषा जसि,विभाषा+जसि,11032
11036:240:220,अन्तरं बहिर्योगोपसंव्यानयोः,अन्तरं+बहिर्योगोपसंव्यानयोः,11036
11040:1190:450,क्त्वातोसुन्कसुनः,क्त्वातोसुन्कसुनः,11040
11042:3393:313,शि सर्वनामस्थानम्,शि+सर्वनामस्थानम्,11042
11046:533:36,आद्यन्तौ टकितौ,आद्यन्तौ+टकितौ,11046
11049:3487:38,षष्ठी स्थानेयोगा,षष्ठी+स्थानेयोगा,11049
11054:528:44,आदेः परस्य,आदेः+परस्य,11054
11055:226:45,अनेकाल्शित्सर्वस्य,अनेकाल्शित्+सर्वस्य,11055
11057:44:50,अचः परस्मिन् पूर्वविधौ,अचः+परस्मिन्+पूर्वविधौ,11057
11058:2040:51,न पदान्तद्विर्वचनवरेयलोपस्वरसवर्णानुस्वारदीर्घजश्चर्विधिषु,न+पदान्तद्विर्वचनवरेयलोपस्वरसवर्णानुस्वारदीर्घजश्चर्विधिषु,11058
11060:127:53,अदर्शनं लोपः,अदर्शनं+लोपः,11060
11061:2480:260,प्रत्ययस्य लुक्‌श्लुलुपः,प्रत्ययस्य+लुक्‌श्लुलुपः,11061
11062:2478:262,प्रत्ययलोपे प्रत्ययलक्षणम्,प्रत्ययलोपे+प्रत्ययलक्षणम्,11062
11074:1799:1336,त्यदादीनि च,त्यदादीनि+च,11074
12001:1286:2461,गाङ्कुटादिभ्योऽञ्णिन्ङ् इत्,गाङ्-कुटादिभ्यः+अञ्णित्+ङित्,12001
12006:685:3393,ईन्धिभवतिभ्यां च,ईन्धिभवतिभ्यां+च,12006
12007:2795:3323,मृडमृदगुधकुषक्लिशवदवसः क्त्वा,मृडमृदगुधकुषक्लिशवदवसः+क्त्वा,12007
12011:2988:2300,लिङ्सिचावात्मनेपदेषु,लिङ्-सिचौ+आत्मनेपदेषु,12011
12013:3101:2700,वा गमः,वा+गमः,12013
12014:3897:2697,हनः सिच्,हनः+सिच्,12014
12017:3829:2389,स्था घ्वोरिच्च,स्था-घ्वोः+इत्+च,12017
12018:2017:3322,न क्त्वा सेट्,न+क्त्वा+सेट्,12018
12019:2208:3052,निष्ठा शीङ्स्विदिमिदिक्ष्विदिधृषः,निष्ठा+शीङ्-स्विदिमिदिक्ष्विदिधृषः,12019
12022:2406:3051,पूङः क्त्वा च,पूङः+क्त्वा+च,12022
12025:1777:3326,तृषिमृषिकृशेः काश्यपस्य,तृषिमृषिकृशेः+काश्यपस्य,12025
12031:3645:7,समाहारः स्वरितः,समाहारः+स्वरितः,12031
12033:885:3662,एकश्रुति दूरात् सम्बुद्धौ,एकश्रुति+दूरात्+सम्बुद्धौ,12033
12036:3199:3665,विभाषा छन्दसि,विभाषा+छन्दसि,12036
12040:734:3669,उदात्तस्वरितपरस्य सन्नतरः,उदात्तस्वरितपरस्य+सन्नतरः,12040
12042:1602:745,तत्पुरुषः समानाधिकरणः कर्मधारयः,तत्पुरुषः+समानाधिकरणः+कर्मधारयः,12042
12049:3003:1408,लुक् तद्धितलुकि,लुक्+तद्धितलुकि,12049
12057:1071:1299,कालोपसर्जने च तुल्यम्,कालोपसर्जने+च+तुल्यम्,12057
12067:2389:933,पुमान् स्त्रिया,पुमान्+स्त्रिया,12067
12068:2709:934,भ्रातृपुत्रौ स्वसृदुहितृभ्याम्,भ्रातृपुत्रौ+स्वसृदुहितृभ्याम्,12068
12070:2372:936,पिता मात्रा,पिता+मात्रा,12070
12071:3465:937,श्वशुरः श्वश्र्वा,श्वशुरः+श्वश्र्वा,12071
12073:1348:939,ग्राम्यपशुसंघेषु अतरुणेषु स्त्री,ग्राम्यपशुसंघेषु+अतरुणेषु+स्त्री,12073
13004:2067:190,न विभक्तौ तुस्माः,न+विभक्तौ+तुस्माः,13004
13006:3470:474,षः प्रत्ययस्य,षः+प्रत्ययस्य,13006
