Sutra krama:Akaaraadi krama:Kaumudi krama,Sutra,PadacCheda,Sutra krama
11002:134:17,अदेङ् गुणः,अदेङ्+गुणः,11002
11003:595:34,इको गुणवृद्धी,इकः+गुणवृद्धी,11003
11004:2034:2656,न धातुलोप आर्धधातुके,न+धातुलोपे+आर्धधातुके,11004
11006:1876:2190,दीधीवेवीटाम्,दीधीवेवीटाम्,11006
11007:3926:30,हलोऽनन्तराः संयोगः,हलः+अनन्तराः+संयोगः,11007
11008:2787:9,मुखनासिकावचनोऽनुनासिकः,मुखनासिकावचनः+अनुनासिकः,11008
11009:1759:10,तुल्यास्यप्रयत्नं सवर्णम्,तुल्यास्यप्रयत्नं+सवर्णम्,11009
11011:683:100,ईदूदेद्द्विवचनं प्रगृह्यम्,ईदूदेद्+द्विवचनं+प्रगृह्यम्,11011
11013:3424:102,शे,शे,11013
11014:2190:103,निपात एकाजनाङ्,निपातः+एकाच्+अनाङ्,11014
11015:936:104,ओत्,ओत्,11015
11016:3665:105,सम्बुद्धौ शाकल्यस्येतावनार्षे,सम्बुद्धौ+शाकल्यस्य+इतौ+अनार्षे,11016
11017:702:106,उञः,उञः,11017
11018:829:107,ऊँ,ऊँ,11018
11019:682:109,ईदूतौ च सप्तम्यर्थे,ईदूतौ+च+सप्तम्यर्थे,11019
11020:1845:2373,दाधा घ्वदाप्,दाधा+घु+अदाप्,11020
11021:532:348,आद्यन्तवदेकस्मिन्,आद्यन्तवत्+एकस्मिन्,11021
11022:1674:2003,तरप्तमपौ घः,तरप्तमपौ+घः,11022
11023:2583:258,बहुगणवतुडति संख्या,बहुगणवतुडति+संख्या,11023
11024:3500:369,ष्णान्ता षट्,ष्णान्ता+षट्,11024
11025:1569:259,डति च,डति+च,11025
11026:1177:3012,क्तक्तवतू निष्ठा,क्तक्तवतू+निष्ठा,11026
11027:3690:213,सर्वादीनि सर्वनामानि,सर्वादीनि+सर्वनामानि,11027
11028:3206:292,विभाषा दिक्समासे बहुव्रीहौ,विभाषा+दिक्समासे+बहुव्रीहौ,11028
11029:2045:222,न बहुव्रीहौ,न+बहुव्रीहौ,11029
11030:1775:223,तृतीयासमासे,तृतीयासमासे,11030
11031:1941:224,द्वन्द्वे च,द्वन्द्वे+च,11031
11032:3202:225,विभाषा जसि,विभाषा+जसि,11032
11033:2484:226,प्रथमचरमतयाल्पार्धकतिपयनेमाश्च,प्रथमचरमतयाल्पार्धकतिपयनेमाः+च,11033
11034:2421:218,पूर्वपरावरदक्षिणोत्तरापराधराणि,पूर्वपरावरदक्षिणोत्तरापराधराणि+व्यवस्थायाम्+असंज्ञायाम्,11034
11035:3871:219,स्वमज्ञातिधनाख्यायाम्,स्वम्+अज्ञातिधनाख्यायाम्,11035
11036:240:220,अन्तरं बहिर्योगोपसंव्यानयोः,अन्तरं+बहिर्योगोपसंव्यानयोः,11036
11037:3875:447,स्वरादिनिपातमव्ययम्,स्वरादिनिपातम्+अव्ययम्,11037
11038:1648:448,तद्धितश्चासर्वविभक्तिः,तद्धितः+च+च+असर्वविभक्तिः,11038
11040:1190:450,क्त्वातोसुन्कसुनः,क्त्वातोसुन्कसुनः,11040
11041:405:451,अव्ययीभावश्च,अव्ययीभावः+च,11041
11042:3393:313,शि सर्वनामस्थानम्,शि+सर्वनामस्थानम्,11042
11043:3753:229,सुडनपुंसकस्य,सुट्+अनपुंसकस्य,11043
11044:2069:24,न वेति विभाषा,न+वा+इति+विभाषा,11044
11045:604:328,इग्यणः सम्प्रसारणम्,इक्+यणः+सम्प्रसारणम्,11045
11046:533:36,आद्यन्तौ टकितौ,आद्यन्तौ+टकितौ,11046
11047:2781:37,मिदचोऽन्त्यात्परः,मित्+अचः+अन्त्यात्+परः,11047
11048:903:323,एच इग्घ्रस्वादेशे,एचः+इक्+ह्रस्वादेशे,11048
11049:3487:38,षष्ठी स्थानेयोगा,षष्ठी+स्थानेयोगा,11049
11051:818:70,उरण् रपरः,उः+अण्+रपरः,11051
11052:369:42,अलोऽन्त्यस्य,अलः+अन्त्यस्य,11052
11054:528:44,आदेः परस्य,आदेः+परस्य,11054
11055:226:45,अनेकाल्शित्सर्वस्य,अनेकाल्शित्+सर्वस्य,11055
11056:3834:49,स्थानिवदादेशोऽनल्विधौ,स्थानिवत्+आदेशः+अनल्विधौ,11056
11057:44:50,अचः परस्मिन् पूर्वविधौ,अचः+परस्मिन्+पूर्वविधौ,11057
11058:2040:51,न पदान्तद्विर्वचनवरेयलोपस्वरसवर्णानुस्वारदीर्घजश्चर्विधिषु,न+पदान्तद्विर्वचनवरेयलोपस्वरसवर्णानुस्वारदीर्घजश्चर्विधिषु,11058
11059:1968:2243,द्विर्वचनेऽचि,द्विर्वचने+अचि,11059
11060:127:53,अदर्शनं लोपः,अदर्शनं+लोपः,11060
11061:2480:260,प्रत्ययस्य लुक्‌श्लुलुपः,प्रत्ययस्य+लुक्‌श्लुलुपः,11061
11062:2478:262,प्रत्ययलोपे प्रत्ययलक्षणम्,प्रत्ययलोपे+प्रत्ययलक्षणम्,11062
11063:2063:263,न लुमताऽङ्गस्य,न+लुमता+अङ्गस्य,11063
11064:57:79,अचोऽन्त्यादि टि,अचः+अन्त्यादि+टि,11064
11065:370:249,अलोऽन्त्यात् पूर्व उपधा,अलः+अन्त्यात्+पूर्वः+उपधा,11065
11066:1689:40,तस्मिन्निति निर्दिष्टे पूर्वस्य,तस्मिन्+इति+निर्दिष्टे+पूर्वस्य,11066
11067:1685:41,तस्मादित्युत्तरस्य,तस्मात्+इति+उत्तरस्य,11067
11068:3862:25,स्वं रूपं शब्दस्याशब्दसंज्ञा,स्वम्+रूपम्+शब्दस्य+अशब्दसंज्ञा,11068
11069:87:14,अणुदित् सवर्णस्य चाप्रत्ययः,अणुदित्+सवर्णस्य+च+अप्रत्ययः,11069
11070:1665:15,तपरस्तत्कालस्य,तपरः+तत्कालस्य,11070
11071:522:2,आदिरन्त्येन सहेता,आदिः+अन्त्येन+सह+इता,11071
11072:2890:26,येन विधिस्तदन्तस्य,येन+विधिः+तदन्तस्य,11072
11073:3290:1335,वृद्धिर्यस्याचामादिस्तद् वृद्धम्,वृद्धिः+यस्य+अचाम्+आदिः+तत्+वृद्धम्,11073
11074:1799:1336,त्यदादीनि च,त्यदादीनि+च,11074
11075:901:1338,एङ् प्राचां देशे,एङ्+प्राचाम्+देशे,11075
12001:1286:2461,गाङ्कुटादिभ्योऽञ्णिन्ङ् इत्,गाङ्-कुटादिभ्यः+अञ्णित्+ङित्,12001
12004:3722:2234,सार्वधातुकमपित्,सार्वधातुकम्+अपित्,12004
12005:429:2242,असंयोगाल्लिट् कित्,असंयोगात्+लिट्+कित्,12005
12006:685:3393,ईन्धिभवतिभ्यां च,ईन्धिभवतिभ्यां+च,12006
12007:2795:3323,मृडमृदगुधकुषक्लिशवदवसः क्त्वा,मृडमृदगुधकुषक्लिशवदवसः+क्त्वा,12007
12008:2944:2609,रुदविदमुषग्रहिस्वपिप्रच्छः सँश्च,रुदविदमुषग्रहिस्वपिप्रच्छः+सन्+च,12008
12011:2988:2300,लिङ्सिचावात्मनेपदेषु,लिङ्-सिचौ+आत्मनेपदेषु,12011
12013:3101:2700,वा गमः,वा+गमः,12013
12014:3897:2697,हनः सिच्,हनः+सिच्,12014
12017:3829:2389,स्था घ्वोरिच्च,स्था-घ्वोः+इत्+च,12017
12018:2017:3322,न क्त्वा सेट्,न+क्त्वा+सेट्,12018
12019:2208:3052,निष्ठा शीङ्स्विदिमिदिक्ष्विदिधृषः,निष्ठा+शीङ्-स्विदिमिदिक्ष्विदिधृषः,12019
12020:2797:3055,मृषस्तितिक्षायाम्,मृषः+तितिक्षायाम्,12020
12021:746:3056,उदुपधाद्भावादिकर्मणोरन्यतरस्याम्,उदुपधात्+भावादिकर्मणोः+अन्यतरस्याम्,12021
12022:2406:3051,पूङः क्त्वा च,पूङः+क्त्वा+च,12022
12023:2243:3324,नोपधात्थफान्ताद्वा,नोपधात्+थफान्तात्+वा,12023
12024:3044:3325,वञ्चिलुञ्च्यृतश्च,वञ्चिलुञ्च्यृतः+च,12024
12025:1777:3326,तृषिमृषिकृशेः काश्यपस्य,तृषिमृषिकृशेः+काश्यपस्य,12025
12026:2911:2617,रलो व्युपधाद्धलादेः संश्च,रलः+व्युपधाद्त्+हलादेः+सन्+च,12026
12027:830:4,ऊकालोऽज्झ्रस्वदीर्घप्लुतः,ऊकालः+अच्+ह्रस्वदीर्घप्लुतः,12027
12030:2217:6,नीचैरनुदात्तः,नीचैः+अनुदात्तः,12030
12031:3645:7,समाहारः स्वरितः,समाहारः+स्वरितः,12031
12032:1706:8,तस्यादित उदात्तमर्धह्रस्वम्,तस्य+आदितः+उदात्तम्+अर्धह्रस्वम्,12032
12033:885:3662,एकश्रुति दूरात् सम्बुद्धौ,एकश्रुति+दूरात्+सम्बुद्धौ,12033
12034:2819:3663,यज्ञकर्मण्यजपन्यूङ्खसामसु,यज्ञकर्मणि+अयजपन्यूङ्खसामसु,12034
12035:701:3664,उच्चैस्तरां वा वषट्कारः,उच्चैस्तराम्+वा+वषट्कारः,12035
12036:3199:3665,विभाषा छन्दसि,विभाषा+छन्दसि,12036
12037:2080:3666,न सुब्रह्मण्यायां स्वरितस्य तूदात्तः,न+सुब्रह्मण्यायाम्+स्वरितस्य+तु+उदात्तः,12037
