11001:3288:16,वृद्धिरादैच्,वृद्धिः+आदैच्,11001:वृद्धिरादैच्:1
11005:1335:2217,ग्क्ङिति च,क्क्ङिति+च,11005:क्क्ङितिच:0
11010:2141:13,नाज्झलौ,न्+अज्झलौ,11010:नज्झलौ:0
11012:129:101,अदसो मात्,अदसः+मात्,11012:अदसः मात्:0
11039:1155:449,कृन्मेजन्तः,कृत्+मेजन्तः,11039:कृत्मेजन्तः:0
11050:3835:39,स्थानेऽन्तरतमः,स्थाने+अन्तरतमः,11050:स्थानयन्तरतमः, स्थान अन्तरतमः, स्थानेऽन्तरतमः:1
11053:1372:43,ङिच्च,ङित्+च,11053:ङिच्च:1
12002:3158:2536,विज इट्,विजः+इट्,12002:विजयिट्, विज इट्:1
12003:3256:2447,विभाषोर्णोः,विभाषा+ऊर्णोः,12003:विभाषोर्णोः:1
12009:596:2612,इको झल्,इकः+झल्,12009:इकः झल्:0
12010:3913:2613,हलन्ताच्च,हलन्तात्+च,12010:हलन्ताच्च:1
12012:823:2368,उश्च,उः+च,12012:उश्च:1
12015:2839:2698,यमो गन्धने,यमः+गन्धने,12015:यमः गन्धने:0
12016:3254:2730,विभाषोपयमने,विभाषा+उपयमने,12016:विभाषोपयमने:1
12028:46:35,अचश्च,अचः+च,12028:अचश्च:1
12029:700:5,उच्चैरुदात्तः,उच्चैः+उदात्तः,12029:उच्चैरुदात्तः:1
12050:650:1703,इद्गोण्याः,इत्+गोण्याः,12050:इत्गोण्याः:0
12062:3261:3388,विशाखयोश्च,विशाखयोः+च,12062:विशाखयोश्च:1
13001:2694:18,भूवादयो धातवः,भूवादयः+धातवः,13001:भूवादयः धातवः:0
13005:524:2289,आदिर्ञिटुडवः,आदिः+ञिटुडवः,13005:आदिर्ञिटुडवः:1
13008:2974:195,लशक्वतद्धिते,लशकु+अतद्धिते,13008:लशक्वतद्धिते, लशकु अतद्धिते:1
13011:3879:46,स्वरितेनाधिकारः,स्वरितेन+अधिकारः,13011:स्वरितेनाधिकारः:1
13017:2236:2683,नेर्विशः,नेः+विशः,13017:नेर्विशः:1
13028:479:2695,आङो यमहनः,आङः+यमहनः,13028:आङः यमहनः:0
13040:473:2713,आङ उद्गमने,आङः+उद्गमने,13040:आङयुद्गमने, आङ उद्गमने:1
13051:388:2724,अवाद्ग्रः,अवात्+ग्रः,13051:अवात्ग्रः:0
13066:2682:2737,भुजोऽनवने,भुजः+अनवने,13066:भुजोऽनवने:1
13073:292:2741,अपाद्वदः,अपात्+वदः,13073:अपात्वदः:0
13074:1580:2564,णिचश्च,णिचः+च,13074:णिचश्च:1
13081:2543:2747,प्राद्वहः,प्रात्+वहः,13081:प्रात्वहः:0
13082:2325:2748,परेर्मृषः,परेः+मृषः,13082:परेर्मृषः:1
13084:797:2750,उपाच्च,उपात्+च,13084:उपाच्च:1
14005:3127:304,वाऽऽमि,वा+आमि,14005:वामि:0
14010:3967:31,ह्रस्वं लघु,ह्रस्वम्+लघु,14010:ह्रस्वम्लघु:0
14012:1879:33,दीर्घं च,दीर्घम्+च,14012:( दीर्घंच-> )दीर्घञ्च:0
14026:2303:589,पराजेरसोढः,पराजेः+असोढः,14026:पराजेरसोढः:1
14029:469:592,आख्यातोपयोगे,आख्याता+उपयोगे,14029:आख्यातोपयोगे:1
14036:3847:574,स्पृहेरीप्सितः,स्पृहेः+ईप्सितः,14036:स्पृहेरीप्सितः:1
14042:3715:560,साधकतमं करणम्,साधकतमम्+करणम्,14042:( साधकतमंकरणम्-> )साधकतमङ्करणम्:0
14045:536:632,आधारोऽधिकरणम्,आधारः+अधिकरणम्,14045:आधारोऽधिकरणम्:1
14051:7:539,अकथितं च,अकथितम्+च,14051:( अकथितंच-> )अकथितञ्च:0
14057:1405:20,चादयोऽसत्त्वे,चादयः+असत्त्वे,14057:चादयोऽसत्त्वे:1
14060:1263:23,गतिश्च,गतिः+च,14060:गतिश्च:1
14064:2695:765,भूषणेऽलम्,भूषणे+अलम्,14064:भूषणयलम्, भूषण अलम्, भूषणेऽलम्:1
14067:2398:768,पुरोऽव्ययम्,पुरः+अव्ययम्,14067:पुरोऽव्ययम्:1
14068:434:769,अस्तं च,अस्तम्+च,14068:( अस्तंच-> )अस्तञ्च:0
14070:137:771,अदोऽनुपदेशे,अदः+अनुपदेशे,14070:अदोऽनुपदेशे:1
14077:2184:778,नित्यं हस्ते पाणावुपयमने,नित्यम्+हस्ते,14077:नित्यंहस्ते:0
14084:219:547,अनुर्लक्षणे,अनुः+लक्षणे,14084:अनुर्लक्षणे:1
14091:312:553,अभिरभागे,अभिः+अभागे,14091:अभिरभागे:1
14097:151:644,अधिरीश्वरे,अधिः+ईश्वरे,14097:अधिरीश्वरे:1
14104:3180:184,विभक्तिश्च,विभक्तिः+च,14104:विभक्तिश्च:1
14107:441:2164,अस्मद्युत्तमः,अस्मदि+उत्तमः,14107:अस्मद्युत्तमः, अस्मदि उत्तमः:1
14110:3260:27,विरामोऽवसानम्,विरामः+अवसानम्,14110:विरामोऽवसानम्:1
