"Sutra krama","Akaaraadi krama","Kaumudi krama","Sutra","PadacCheda",
"11001","3288","16","वृद्धिरादैच्","वृद्धिः आदैच्",
"11002","134","17","अदेङ् गुणः","अदेङ् गुणः",
"11003","595","34","इको गुणवृद्धी","इकः गुणवृद्धी",
"11004","2034","2656","न धातुलोप आर्धधातुके","न धातुलोपे आर्धधातुके",
"11005","1335","2217","ग्क्ङिति च","क्क्ङिति च",
"11006","1876","2190","दीधीवेवीटाम्","दीधीवेवीटाम्",
"11007","3926","30","हलोऽनन्तराः संयोगः","हलः अनन्तराः संयोगः",
"11008","2787","9","मुखनासिकावचनोऽनुनासिकः","मुखनासिकावचनः अनुनासिकः",
"11009","1759","10","तुल्यास्यप्रयत्नं सवर्णम्","तुल्यास्यप्रयत्नं सवर्णम्",
"11010","2141","13","नाज्झलौ","न् अज्झलौ",
"11011","683","100","ईदूदेद्द्विवचनं प्रगृह्यम्","ईदूदेद् द्विवचनं प्रगृह्यम्",
"11012","129","101","अदसो मात्","अदसः मात्",
"11013","3424","102","शे","शे",
"11014","2190","103","निपात एकाजनाङ्","निपातः एकाच् अनाङ्",
"11015","936","104","ओत्","ओत्",
"11016","3665","105","सम्बुद्धौ शाकल्यस्येतावनार्षे","सम्बुद्धौ शाकल्यस्य इतौ अनार्षे",
"11017","702","106","उञः","उञः",
"11018","829","107","ऊँ","ऊँ",
"11019","682","109","ईदूतौ च सप्तम्यर्थे","ईदूतौ च सप्तम्यर्थे",
"11020","1845","2373","दाधा घ्वदाप्","दाधा घु अदाप्",
"11021","532","348","आद्यन्तवदेकस्मिन्","आद्यन्तवत् एकस्मिन्",
"11022","1674","2003","तरप्तमपौ घः","तरप्तमपौ घः",
"11023","2583","258","बहुगणवतुडति संख्या","बहुगणवतुडति संख्या",
"11024","3500","369","ष्णान्ता षट्","ष्णान्ता षट्",
"11025","1569","259","डति च","डति च",
"11026","1177","3012","क्तक्तवतू निष्ठा","क्तक्तवतू निष्ठा",
"11027","3690","213","सर्वादीनि सर्वनामानि","सर्वादीनि सर्वनामानि",
"11028","3206","292","विभाषा दिक्समासे बहुव्रीहौ","विभाषा दिक्समासे बहुव्रीहौ",
"11029","2045","222","न बहुव्रीहौ","न बहुव्रीहौ",
"11030","1775","223","तृतीयासमासे","तृतीयासमासे",
"11031","1941","224","द्वन्द्वे च","द्वन्द्वे च",
"11032","3202","225","विभाषा जसि","विभाषा जसि",
"11033","2484","226","प्रथमचरमतयाल्पार्धकतिपयनेमाश्च","प्रथमचरमतयाल्पार्धकतिपयनेमाः च",
"11034","2421","218","पूर्वपरावरदक्षिणोत्तरापराधराणि","पूर्वपरावरदक्षिणोत्तरापराधराणि व्यवस्थायाम् असंज्ञायाम्",
"11035","3871","219","स्वमज्ञातिधनाख्यायाम्","स्वम् अज्ञातिधनाख्यायाम्",
"11036","240","220","अन्तरं बहिर्योगोपसंव्यानयोः","अन्तरं बहिर्योगोपसंव्यानयोः",
"11037","3875","447","स्वरादिनिपातमव्ययम्","स्वरादिनिपातम् अव्ययम्",
"11038","1648","448","तद्धितश्चासर्वविभक्तिः","तद्धितः च च असर्वविभक्तिः",
"11039","1155","449","कृन्मेजन्तः","कृत् मेजन्तः",
"11040","1190","450","क्त्वातोसुन्कसुनः","क्त्वातोसुन्कसुनः",
"11041","405","451","अव्ययीभावश्च","अव्ययीभावः च",
"11042","3393","313","शि सर्वनामस्थानम्","शि सर्वनामस्थानम्",
"11043","3753","229","सुडनपुंसकस्य","सुट् अनपुंसकस्य",
"11044","2069","24","न वेति विभाषा","न वा इति विभाषा",
"11045","604","328","इग्यणः सम्प्रसारणम्","इक् यणः सम्प्रसारणम्",
"11046","533","36","आद्यन्तौ टकितौ","आद्यन्तौ टकितौ",
"11047","2781","37","मिदचोऽन्त्यात्परः","मित् अचः अन्त्यात् परः",
"11048","903","323","एच इग्घ्रस्वादेशे","एचः इक् ह्रस्वादेशे",
"11049","3487","38","षष्ठी स्थानेयोगा","षष्ठी स्थानेयोगा",
"11050","3835","39","स्थानेऽन्तरतमः","स्थाने अन्तरतमः",
"11051","818","70","उरण् रपरः","उः अण् रपरः",
"11052","369","42","अलोऽन्त्यस्य","अलः अन्त्यस्य",
"11053","1372","43","ङिच्च","ङित् च",
"11054","528","44","आदेः परस्य","आदेः परस्य",
"11055","226","45","अनेकाल्शित्सर्वस्य","अनेकाल्शित् सर्वस्य",
"11056","3834","49","स्थानिवदादेशोऽनल्विधौ","स्थानिवत् आदेशः अनल्विधौ",
"11057","44","50","अचः परस्मिन् पूर्वविधौ","अचः परस्मिन् पूर्वविधौ",
"11058","2040","51","न पदान्तद्विर्वचनवरेयलोपस्वरसवर्णानुस्वारदीर्घजश्चर्विधिषु","न पदान्तद्विर्वचनवरेयलोपस्वरसवर्णानुस्वारदीर्घजश्चर्विधिषु",
"11059","1968","2243","द्विर्वचनेऽचि","द्विर्वचने अचि",
"11060","127","53","अदर्शनं लोपः","अदर्शनं लोपः",
"11061","2480","260","प्रत्ययस्य लुक्‌श्लुलुपः","प्रत्ययस्य लुक्‌श्लुलुपः",
"11062","2478","262","प्रत्ययलोपे प्रत्ययलक्षणम्","प्रत्ययलोपे प्रत्ययलक्षणम्",
"11063","2063","263","न लुमताऽङ्गस्य","न लुमता अङ्गस्य",
"11064","57","79","अचोऽन्त्यादि टि","अचः अन्त्यादि टि",
"11065","370","249","अलोऽन्त्यात् पूर्व उपधा","अलः अन्त्यात् पूर्वः उपधा",
"11066","1689","40","तस्मिन्निति निर्दिष्टे पूर्वस्य","तस्मिन् इति निर्दिष्टे पूर्वस्य",
"11067","1685","41","तस्मादित्युत्तरस्य","तस्मात् इति उत्तरस्य",
"11068","3862","25","स्वं रूपं शब्दस्याशब्दसंज्ञा","स्वम् रूपम् शब्दस्य अशब्दसंज्ञा",
"11069","87","14","अणुदित् सवर्णस्य चाप्रत्ययः","अणुदित् सवर्णस्य च अप्रत्ययः",
"11070","1665","15","तपरस्तत्कालस्य","तपरः तत्कालस्य",
"11071","522","2","आदिरन्त्येन सहेता","आदिः अन्त्येन सह इता",
"11072","2890","26","येन विधिस्तदन्तस्य","येन विधिः तदन्तस्य",
"11073","3290","1335","वृद्धिर्यस्याचामादिस्तद् वृद्धम्","वृद्धिः यस्य अचाम् आदिः तत् वृद्धम्",
"11074","1799","1336","त्यदादीनि च","त्यदादीनि च",
"11075","901","1338","एङ् प्राचां देशे","एङ् प्राचाम् देशे",
"12001","1286","2461","गाङ्कुटादिभ्योऽञ्णिन्ङ् इत्","गाङ्-कुटादिभ्यः अञ्णित् ङित्",
"12002","3158","2536","विज इट्","विजः इट्",
"12003","3256","2447","विभाषोर्णोः","विभाषा ऊर्णोः",
"12004","3722","2234","सार्वधातुकमपित्","सार्वधातुकम् अपित्",
"12005","429","2242","असंयोगाल्लिट् कित्","असंयोगात् लिट् कित्",
"12006","685","3393","ईन्धिभवतिभ्यां च","ईन्धिभवतिभ्यां च",
"12007","2795","3323","मृडमृदगुधकुषक्लिशवदवसः क्त्वा","मृडमृदगुधकुषक्लिशवदवसः क्त्वा",
"12008","2944","2609","रुदविदमुषग्रहिस्वपिप्रच्छः सँश्च","रुदविदमुषग्रहिस्वपिप्रच्छः सन् च",
"12009","596","2612","इको झल्","इकः झल्",
"12010","3913","2613","हलन्ताच्च","हलन्तात् च",
"12011","2988","2300","लिङ्सिचावात्मनेपदेषु","लिङ्-सिचौ आत्मनेपदेषु",
"12012","823","2368","उश्च","उः च",
"12013","3101","2700","वा गमः","वा गमः",
"12014","3897","2697","हनः सिच्","हनः सिच्",
"12015","2839","2698","यमो गन्धने","यमः गन्धने",
"12016","3254","2730","विभाषोपयमने","विभाषा उपयमने",
"12017","3829","2389","स्था घ्वोरिच्च","स्था-घ्वोः इत् च",
"12018","2017","3322","न क्त्वा सेट्","न क्त्वा सेट्",
"12019","2208","3052","निष्ठा शीङ्स्विदिमिदिक्ष्विदिधृषः","निष्ठा शीङ्-स्विदिमिदिक्ष्विदिधृषः",
"12020","2797","3055","मृषस्तितिक्षायाम्","मृषः तितिक्षायाम्",
"12021","746","3056","उदुपधाद्भावादिकर्मणोरन्यतरस्याम्","उदुपधात् भावादिकर्मणोः अन्यतरस्याम्",
"12022","2406","3051","पूङः क्त्वा च","पूङः क्त्वा च",
"12023","2243","3324","नोपधात्थफान्ताद्वा","नोपधात् थफान्तात् वा",
"12024","3044","3325","वञ्चिलुञ्च्यृतश्च","वञ्चिलुञ्च्यृतः च",
"12025","1777","3326","तृषिमृषिकृशेः काश्यपस्य","तृषिमृषिकृशेः काश्यपस्य",
"12026","2911","2617","रलो व्युपधाद्धलादेः संश्च","रलः व्युपधाद्त् हलादेः सन् च",
"12027","830","4","ऊकालोऽज्झ्रस्वदीर्घप्लुतः","ऊकालः अच् ह्रस्वदीर्घप्लुतः",
"12028","46","35","अचश्च","अचः च",
"12029","700","5","उच्चैरुदात्तः","उच्चैः उदात्तः",
"12030","2217","6","नीचैरनुदात्तः","नीचैः अनुदात्तः",
"12031","3645","7","समाहारः स्वरितः","समाहारः स्वरितः",
"12032","1706","8","तस्यादित उदात्तमर्धह्रस्वम्","तस्य आदितः उदात्तम् अर्धह्रस्वम्",
"12033","885","3662","एकश्रुति दूरात् सम्बुद्धौ","एकश्रुति दूरात् सम्बुद्धौ",
"12034","2819","3663","यज्ञकर्मण्यजपन्यूङ्खसामसु","यज्ञकर्मणि अयजपन्यूङ्खसामसु",
"12035","701","3664","उच्चैस्तरां वा वषट्कारः","उच्चैस्तराम् वा वषट्कारः",
"12036","3199","3665","विभाषा छन्दसि","विभाषा छन्दसि",
"12037","2080","3666","न सुब्रह्मण्यायां स्वरितस्य तूदात्तः","न सुब्रह्मण्यायाम् स्वरितस्य तु उदात्तः",
