वृद्धिरादैच्,वृद्धिःआदैच्
इको गुणवृद्धी,इकःगुणवृद्धी
न धातुलोप आर्धधातुके,नधातुलोपेआर्धधातुके
ग्क्ङिति च,क्क्ङितिच
हलोऽनन्तराः संयोगः,हलःअनन्तराःसंयोगः
मुखनासिकावचनोऽनुनासिकः,मुखनासिकावचनःअनुनासिकः
नाज्झलौ,न्अज्झलौ
अदसो मात्,अदसःमात्
निपात एकाजनाङ्,निपातःएकाच्अनाङ्
सम्बुद्धौ शाकल्यस्येतावनार्षे,सम्बुद्धौशाकल्यस्यइतौअनार्षे
दाधा घ्वदाप्,दाधाघुअदाप्
आद्यन्तवदेकस्मिन्,आद्यन्तवत्एकस्मिन्
प्रथमचरमतयाल्पार्धकतिपयनेमाश्च,प्रथमचरमतयाल्पार्धकतिपयनेमाःच
पूर्वपरावरदक्षिणोत्तरापराधराणि,पूर्वपरावरदक्षिणोत्तरापराधराणिव्यवस्थायाम्असंज्ञायाम्
स्वमज्ञातिधनाख्यायाम्,स्वम्अज्ञातिधनाख्यायाम्
स्वरादिनिपातमव्ययम्,स्वरादिनिपातम्अव्ययम्
तद्धितश्चासर्वविभक्तिः,तद्धितःचचअसर्वविभक्तिः
कृन्मेजन्तः,कृत्मेजन्तः
अव्ययीभावश्च,अव्ययीभावःच
सुडनपुंसकस्य,सुट्अनपुंसकस्य
न वेति विभाषा,नवाइतिविभाषा
इग्यणः सम्प्रसारणम्,इक्यणःसम्प्रसारणम्
मिदचोऽन्त्यात्परः,मित्अचःअन्त्यात्परः
एच इग्घ्रस्वादेशे,एचःइक्ह्रस्वादेशे
स्थानेऽन्तरतमः,स्थानेअन्तरतमः
उरण् रपरः,उःअण्रपरः
अलोऽन्त्यस्य,अलःअन्त्यस्य
ङिच्च,ङित्च
स्थानिवदादेशोऽनल्विधौ,स्थानिवत्आदेशःअनल्विधौ
द्विर्वचनेऽचि,द्विर्वचनेअचि
न लुमताऽङ्गस्य,नलुमताअङ्गस्य
अचोऽन्त्यादि टि,अचःअन्त्यादिटि
अलोऽन्त्यात् पूर्व उपधा,अलःअन्त्यात्पूर्वःउपधा
तस्मिन्निति निर्दिष्टे पूर्वस्य,तस्मिन्इतिनिर्दिष्टेपूर्वस्य
तस्मादित्युत्तरस्य,तस्मात्इतिउत्तरस्य
स्वं रूपं शब्दस्याशब्दसंज्ञा,स्वम्रूपम्शब्दस्यअशब्दसंज्ञा
अणुदित् सवर्णस्य चाप्रत्ययः,अणुदित्सवर्णस्यचअप्रत्ययः
तपरस्तत्कालस्य,तपरःतत्कालस्य
आदिरन्त्येन सहेता,आदिःअन्त्येनसहइता
येन विधिस्तदन्तस्य,येनविधिःतदन्तस्य
वृद्धिर्यस्याचामादिस्तद् वृद्धम्,वृद्धिःयस्यअचाम्आदिःतत्वृद्धम्
एङ् प्राचां देशे,एङ्प्राचाम्देशे
विज इट्,विजःइट्
विभाषोर्णोः,विभाषाऊर्णोः
सार्वधातुकमपित्,सार्वधातुकम्अपित्
असंयोगाल्लिट् कित्,असंयोगात्लिट्कित्
रुदविदमुषग्रहिस्वपिप्रच्छः सँश्च,रुदविदमुषग्रहिस्वपिप्रच्छःसन्च
इको झल्,इकःझल्
हलन्ताच्च,हलन्तात्च
उश्च,उःच
यमो गन्धने,यमःगन्धने
विभाषोपयमने,विभाषाउपयमने
मृषस्तितिक्षायाम्,मृषःतितिक्षायाम्
उदुपधाद्भावादिकर्मणोरन्यतरस्याम्,उदुपधात्भावादिकर्मणोःअन्यतरस्याम्
नोपधात्थफान्ताद्वा,नोपधात्थफान्तात्वा
वञ्चिलुञ्च्यृतश्च,वञ्चिलुञ्च्यृतःच
रलो व्युपधाद्धलादेः संश्च,रलःव्युपधाद्त्हलादेःसन्च
ऊकालोऽज्झ्रस्वदीर्घप्लुतः,ऊकालःअच्ह्रस्वदीर्घप्लुतः
अचश्च,अचःच
उच्चैरुदात्तः,उच्चैःउदात्तः
नीचैरनुदात्तः,नीचैःअनुदात्तः
तस्यादित उदात्तमर्धह्रस्वम्,तस्यआदितःउदात्तम्अर्धह्रस्वम्
यज्ञकर्मण्यजपन्यूङ्खसामसु,यज्ञकर्मणिअयजपन्यूङ्खसामसु
उच्चैस्तरां वा वषट्कारः,उच्चैस्तराम्वावषट्कारः
न सुब्रह्मण्यायां स्वरितस्य तूदात्तः,नसुब्रह्मण्यायाम्स्वरितस्यतुउदात्तः
देवब्रह्मणोरनुदात्तः,देवब्रह्मणोःअनुदात्तः
स्वरितात् संहितायामनुदात्तानाम्,स्वरितात्संहितायाम्अनुदात्तानाम्
अपृक्त एकाल् प्रत्ययः,अपृक्तःएकाल्प्रत्ययः
प्रथमानिर्दिष्टं समास उपसर्जनम्,प्रथमानिर्दिष्टम्समासेउपसर्जनम्
एकविभक्ति चापूर्वनिपाते,एकविभक्तिचआपूर्वनिपाते
अर्थवदधातुरप्रत्ययः प्रातिपदिकम्,अर्थवत्अधातुःअप्रत्ययःप्रातिपदिकम्
कृत्तद्धितसमासाश्च,कृत्तद्धितसमासाःच
ह्रस्वो नपुंसके प्रातिपदिकस्य,ह्रस्वःनपुंसकेप्रातिपदिकस्य
गोस्त्रियोरुपसर्ज्जनस्य,गोस्त्रियोःउपसर्जनस्य
इद्गोण्याः,इत्गोण्याः
लुपि युक्तवद्व्यक्तिवचने,लुपियुक्तवत्व्यक्तिवचने
विशेषणानां चाजातेः,विशेषणानाम्चआजातेः
तदशिष्यं संज्ञाप्रमाणत्वात्,तत्अशिष्यम्संज्ञाप्रमाणत्वात्
लुब्योगाप्रख्यानात्,लुप्योगाप्रख्यानात्
योगप्रमाणे च तदभावेऽदर्शनं स्यात्,योगप्रमाणेचतदभावेअदर्शनम्स्यात्
प्रधानप्रत्ययार्थवचनमर्थस्यान्यप्रमाणत्वात्,प्रधानप्रत्ययार्थवचनम्अर्थस्यअन्यप्रमाणत्वात्
जात्याख्यायामेकस्मिन् बहुवचनमन्यतरस्याम्,जात्याख्यायाम्एकस्मिन्बहुवचनम्अन्यतरस्याम्
अस्मदो द्वायोश्च,अस्मदःद्वायोःच
फल्गुनीप्रोष्ठपदानां च नक्षत्रे,फल्गुनीप्रोष्ठपदानाम्चनक्षत्रे
छन्दसि पुनर्वस्वोरेकवचनम्,छन्दसिपुनर्वस्वोःएकवचनम्
विशाखयोश्च,विशाखयोःच
तिष्यपुनर्वस्वोर्नक्षत्रद्वंद्वे बहुवचनस्य,तिष्यपुनर्वस्वोःनक्षत्रद्वंद्वेबहुवचनस्यद्विवचनम्नित्यम्
सरूपाणामेकशेष एकविभक्तौ,सरूपाणाम्एकशेषःएकविभक्तौ
वृद्धो यूना तल्लक्षणश्चेदेव विशेषः,वृद्धःयूनातल्लक्षणःचेत्एवविशेषः
स्त्री पुंवच्च,स्त्रीपुंवत्च
नपुंसकमनपुंसकेनैकवच्चास्यान्यतरस्याम्,नपुंसकम्अनपुंसकेनएकवत्चअस्यअन्यतरस्याम्
त्यदादीनि सर्वैर्नित्यम्,त्यदादीनिसर्वौःनित्यम्
भूवादयो धातवः,भूवादयःधातवः
उपदेशेऽजनुनासिक इत्,उपदेशेअच्अनुनासिकःइत्
हलन्त्यम्,हल्अन्त्यम्अन्तेदिगादित्वात्यत्
आदिर्ञिटुडवः,आदिःञिटुडवः
लशक्वतद्धिते,लशकुअतद्धिते
यथासंख्यमनुदेशः समानाम्,यथासंख्यम्अनुदेशःसमानाम्
स्वरितेनाधिकारः,स्वरितेनअधिकारः
अनुदात्तङित आत्मनेपदम्,अनुदात्तङितःआत्मनेपदम्
इतरेतरान्योन्योपपदाच्च,इतरेतरान्योन्योपपदात्च
नेर्विशः,नेःविशः
विपराभ्यां जेः,विपराभ्याम्जेः
आङो दोऽनास्यविहरणे,आङःदःअनास्यविहरणे
क्रीडोऽनुसम्परिभ्यश्च,क्रीडःअनुसम्परिभ्यःच
प्रकाशनस्थेयाख्ययोश्च,प्रकाशनस्थेयाख्ययोःच
उदोऽनूर्द्ध्वकर्मणि,उदःअनूर्ध्वकर्मणि
उपान्मन्त्रकरणे,उपात्मन्त्रकरणे
अकर्मकाच्च,अकर्मकात्च
उद्विभ्यां तपः,उद्विभ्याम्तपः
आङो यमहनः,आङःयमहनः
निसमुपविभ्यो ह्वः,निसमुपविभ्यःह्वः
स्पर्द्धायामाङः,स्पर्द्धायाम्आङः
अकर्मकाच्च,अकर्मकात्च
कर्तृस्थे चाशरीरे कर्मणि,कर्तृस्थेचअशरीरेकर्मणि
आङ उद्गमने,आङःउद्गमने
प्रोपाभ्यां समर्थाभ्याम्,प्रोपाभ्याम्समर्थाभ्याम्
अनुपसर्गाद्वा,अनुपसर्गात्वा
अकर्मकाच्च,अकर्मकात्च
सम्प्रतिभ्यामनाध्याने,सम्प्रतिभ्याम्अनाध्याने
