एवासन्।,:एव,आसन्।,
यद्यस्माकं,:यदि,अस्माकं,
गुणमवगुणं,:गुणम्,अवगुणं,
चावधार्य,:च,अवधार्य,
शासनमिच्छामः।,:शासनम्,इच्छामः।,
वर्तितुमभिलषामः।,:वर्तितुम्,अभिलषामः।,
राजानमिच्छामः।,:राजानम्,इच्छामः।,
शासनेऽपि,:शासने,अपि,
उद्विग्नतामन्वभवन्।,:उद्विग्नताम्,अन्वभवन्।,
आगत्यैव,:आगत्य,एव,
पुनरेकत्रीभूय,:पुनः,एकत्रीभूय,
ऊचुश्च-,:ऊचुः,च,
नेच्छामः।,:न,इच्छामः।,
शासनमिच्छामः,:शासनम्,इच्छामः,
विहर्तुमिच्छामः।,:विहर्तुम्,इच्छामः।,
भवत्येव।,:भवति,एव।,
परशासनस्थितैस्तैः,:परशासनस्थितैः,तैः,
लोकेऽस्मिन्,:लोके,अस्मिन्,
पदमपथे,:पदम्,अपथे,
