उष्ट्रमारुह्य,:उष्ट्रम्,आरुह्य,
नैकस्थानेषु,:न,एकस्थानेषु,
असावेकं,:असौ,एकं,
ग्राममुपेतवान्।,:ग्रामम्,उपेतवान्।,
तत्रावस्थातुं,:तत्र,अवस्थातुं,
बहिरेकं,:बहिः,एकं,
तस्योष्ट्रः,:तस्य,उष्ट्रः,
शिशिरर्तुरवर्तत।,:शिशिरर्तुः,अवर्तत।,
भीषणशैत्यमसहमानः,:भीषणशैत्यम्,असहमानः,
तत्प्रार्थनामङ्गीचकार।,:तत्प्रार्थनाम्,अङ्गीचकार।,
किञ्चित्कालानन्तरं,:किञ्चित्,कालानन्तरं,
प्रवेशयितुमभ्यर्थनां,:प्रवेशयितुम्,अभ्यर्थनां,
तदप्यन्वमन्यत।,:तदपि,अन्वमन्यत।,
देहेनान्तः,:देहेन,अन्तः,
लघुवितानेऽस्मिन्,:लघुविताने,अस्मिन्,
बहिस्तिष्ठ।,:बहिः,तिष्ठ।,
