ममत्वमुच्चैर्निजपुत्रकेषु,:ममत्वम्,उच्चैः,निजपुत्रकेषु,
ममत्वमुच्चैर्निजपुत्रकेषु,:ममत्वम्,उच्चैः,निजपुत्रकेषु,
वयमिह,:वयम्,इह,
जाता।,:जाताः,।,
ततस्ते,:ततः,ते,
वनदेवतामुपगम्य,:वनदेवताम्,उपगम्य,
मर्कटोऽपि,:मर्कटः,अपि,
अभग्ननासिकश्च,:अभग्ननासिकः,च,
ततस्ते,:ततः,ते,
पुरस्कारमर्हति।,:पुरस्कारम्,अर्हति।,
नूनमेनं,:नूनम्,एनं,
सन्देहलवोऽपि।,:सन्देहलवः,अपि।,
वानरस्तेषां,:वानरः,तेषां,
व्यङ्ग्यवचसामाशयं,:व्यङ्ग्यवचसाम्,आशयं,
प्रेष्ठश्च।,:प्रेष्टः,च।,
कस्यास्ति,:कस्य,अस्ति,
प्रीतिर्निसर्गतः,:प्रीतिः,निसर्गतः,
सर्वतोऽधिकम्,:सर्वतः,अधिकम्,
