एकोऽश्वतरः,:एकः,अश्वतरः,
तमश्वतरं,:तम्,अश्वतरं,
नाधिकं,:न,अधिकं,
विक्रेतुमैच्छत्।,:विक्रेतुम्,ऐच्छत्।,
दिनेऽसौ,:दिने,असौ,
तमश्वतरं,:तम्,अश्वतरं,
हसितुमारभत,:हसितुम्,आरभत,
अश्वतरपृष्ठमारोपयत्,:अश्वतरपृष्ठम्,आरोपयत्,
किञ्चिदग्रे,:किञ्चित्,अग्रे,
तर्जयन्तोऽवदन्-,:तर्जयन्त,अवदन्-,
कीदृशोऽयं,:कीदृशः,अयं,
तमनुसरति।,:तम्,अनुसरति।,
पितरमुपावेशयत्।,:पितरम्,उपावेशयत्।,
गच्छन्त्योऽवदन्-,:गच्छन्त्यः,अवदन्-,
कीदृशोऽयं,:कीदृशः,अयं,
पशुमारुह्य,:पशुम्,आरुह्य,
पुत्रश्च,:पुत्रः,च,
श्रुतमनुभूतं,:श्रुतम्,अनुभूतं,
सुतमपि,:सुतम्,अपि,
नातिदूरे,:न,अतिदूरे,
जीवमारुह्य,:जीवम्,आरुह्य,
निर्दयमाचरथः।,:निर्दयम्,आचरथः।,
नास्ति।,:न,अस्ति।,
निर्बलोऽयं,:निर्बलः,अयं,
सत्पुरुषस्तु,:सत्पुरुषः,तु,
एवमभिधाय,:एवम्,अभिधाय,
आसन्नमरणोऽस्ति।,:आसन्नमरणः,अस्ति।,
अंसाभ्यामेव,:अंसाभ्याम्,एव,
सर्वेऽहसन्।,:सर्वे,अहसन्।,
प्रसादयातुमभिलषति,:प्रसादयातुम्,अभिलषति,
तस्येदृशी,:तस्य,ईदृशी,
वचोऽन्येषां,:वचः,अन्येषां,
