मांसखण्डमानीय,:मांसखण्डम्,आनीय,
तरुशाखायामुपाविशत्।,:तरुशाखायाम्,उपाविशत्।,
तदैव,:तदा,एव,
गोमायुरपि,:गोमायुः,अपि,
तरोर्मूलमुपाश्रितः।,:तरोः,मूलम्,उपाश्रितः।,
काकमुवाच-,:काकम्,उवाच-,
त्वत्तोऽधिकः,:त्वत्तः,अधिकः,
मूर्धन्योऽसि,:मूर्धन्यः,असि,
किमिदं,:किम्,इदं,
मूकस्त्वम्?,:मूकः,त्वम्?,
अस्मादेव,:अस्मात्,एव,
इदमबोधत्-,:इदम्,अबोधत्-,
अहमेकं,:अहम्,एकं,
भ्रान्तिमपाकरोमि।,:भ्रान्तिम्,अपाकरोमि।,
इत्यवधार्य,:इति,अवधार्य,
गातुमारभत।,:गातुम्,आरभत।,
धरायामपतत्,:धरायाम्,अपतत्,
श्रुगालश्च,:श्रुगालः,च,
त्वरितमुदरस्थमकरोत्।,:त्वरितम्,उदरस्थम्,अकरोत्।,
काकमवदत्-,:काकम्,अवदत्-,
मुधैव,:मुधा,एव,
चिरेणापि,:चिरेण,अपि,
