श्रुगालश्च।,:श्रुगालः,च।,
सचिवत्रयमतिरिच्य,:सचिवत्रयम्,अतिरिच्य,
अन्येऽपि,:अन्ये,अपि,
घ्रातुमपि,:घ्रातुम्,अपि,
किमिदं,:किम्,इदं,
सिंहस्तद्वचसा,:सिंहः,तद्वचसा,
रोषमुपागतः।,:रोषम्,उपागतः।,
तमभिपत्य,:तम्,अभिपत्य,
नखैर्विदारितवान्।,:नखैः,विदारितवान्।,
ततोऽसौ,:ततः,असौ,
गर्दभस्तु,:गर्दभः,तु,
मूढमतिरासीत्।,:मूढमतिः,आसीत्।,
तमपि,:तम्,अपि,
श्रृगालमुवाच,:श्रृगालम्,उवाच,
दैहिकदुर्गन्धमधिकृत्य।,:दैहिकदुर्गन्धम्,अधिकृत्य।,
नासिकाऽवरुध्दा,:नासिका,अवरुध्दा,
अप्यासीत्।,:अपि,आसीत्।,
अतोऽहं,:अतः,अहं,
नार्हामि।,:न,अर्हामि।,
वाच्यतामपि,:वाच्यताम्,अपि,
