जातः।,:जातः।,
शारीरिकवेदनाऽभिभूतस्य,:शारीरिकवेदना,अभिभूतस्य,
गुहायामेकाकी,:गुहायाम्,एकाकी,
सिंहस्याग्रे,:सिंहस्य,अग्रे,
नाद्यावधि,:न,अद्यावधि,
तमवदत्-,:तम्,अवदत्-,
नागतवान्?,:न,आगतवान्?,
भयादकम्पत,:भयात्,अकम्पत,
रुचिर्नास्ति।,:रुचिः,नास्ति।,
औषधमपृच्छम्।,:औषधम्,अपृच्छम्।,
सद्योलाभकरमौषधं,:सद्योलाभकरम्,औषधं,
आगतोऽस्मि।,:आगतः,अस्मि।,
सिंहोऽवदत्-,:सिंहः,अवदत्-,
'यद्येवं,:यदि,एवं,
कर्तव्यपरायणस्त्वं,:कर्तव्यपरायणः,त्वं,
एतदौषधम्,:एतत्,औषधम्,
अगदोऽयं,:अगदः,अयं,
अत्रैव,:अत्र,एव,
व्याघ्रमभिपत्य,:व्याघ्रम्,अभिपत्य,
नखैर्विदारितवान्,:नखैः,विदारितवान्,
बाधानामपि,:बाधानाम्,अपि,
