कश्चिज्जनः,:कश्चित्,जनः,
अजञ्च,:अजं,च,
तस्यैवंविधं,:तस्य,एवंविधं,
सत्कारमालक्ष्य,:सत्कारम्,आलक्ष्य,
सोऽवाञ्छद्,:सः,अवाञ्छत्,
कञ्चिदुपायं,:कञ्चित्,उपायं,
गर्दभमाह-,:गर्दभम्,आह-,
क्षणमपि,:क्षणम्,अपि,
किमेषा,:किम्,एषा,
गर्दभोऽवदत्,:गर्दभः,अवदत्,
अजोऽभणत्-,:अजः,अभणत्-,
यथोपदिष्टमकरोत्,:यथोपदिष्टम्,अकरोत्,
सोऽधिकम्,:सः,अधिकम्,
आहतोऽभवत्।,:आहतः,अभवत्।,
रक्तमस्रवत्।,:रक्तम्,अस्रवत्।,
पीडितोऽभूत्।,:पीडितः,अभूत्।,
छुरिकामादाय,:छुरिकाम्,आदाय,
निहन्तुमुद्यतोऽभवत्।,:निहन्तुम्,उद्यतः,अभवत्।,
मयाऽन्यस्य,:मया,अन्यस्य,
म्रियेऽधुना।,:म्रिये,अधुना।,
अनिष्टञ्च,:अनिष्टं,च,
ह्याचरन्तः।,:हि,आचरन्तः।,
