चार्पितम्।,:च,अर्पितम्।,
प्रसन्नाऽभवत्।,:प्रसन्ना,अभवत्।,
गृहमानयत्,:गृहम्,आनयत्,
तमभ्यनन्दत्।,:तम्,अभ्यनन्दत्।,
ग्रामेऽसौ,:ग्रामे,असौ,
नानाद्रव्याण्यचोरयत्।,:नानाद्रव्याणि,अचोरयत्।,
प्राणहरणेऽपि,:प्राणहरणे,अपि,
तस्याविचारैः,:तस्य,अविचारैः,
अन्ततोऽसौ,:अन्ततः,असौ,
न्यायाधीशमुवाच-,:न्यायाधीशम्,उवाच-,
बालोऽहं,:बालः,अहं,
वस्तून्यपाहरम्,:वस्तूनि,अपाहरम्,
साऽतीव,:सा,अतीव,
मामभिनन्दति,:माम्,अभिनन्दति,
जीवनमपि,:जीवनम्,अपि,
यद्येषा,:यदि,एषा,
ममोत्साहं,:मम,उत्साहं,
नावर्धयिष्यत्,:न,अवर्धयिष्यत्,
नाहमद्य,:न,अहम्,अद्य,
प्राणदण्डमवाप्स्यम्,:प्राणदण्डम्,अवाप्स्यम्,
