नाशक्नोत्।,:न,अशक्नोत्।,
चादर्शयत्।,:च,अदर्शयत्।,
भिषजमवदत्,:भिषजम्,अवदत्,
द्रवेण,:केनचित्,द्रवेण,
एवमसौ,:एवम्,असौ,
किमप्यौषधम्,:किमपि,औषधम्,
वार्तामकरोत्।,:वार्ताम्,अकरोत्।,
तस्येदं,:तस्य,इदं,
एकमौषधम्,:एकम्,औषधम्,
समर्थाऽऽसीत्।,:समर्था,आसीत्।,
नवीनमिव,:नवीनम्,इव,
अपूर्वमानन्दमविन्दत्।,:अपूर्वम्,आनन्दम्,अविन्दत्।,
यदाऽसौ,:यदा,असौ,
निजगृहभ्यन्तरमालोकत,:निजगृहभ्यन्तरम्,आलोकत,
रिक्तमासीत्।,:रिक्तम्,आसीत्।,
साऽजानात्,:सा,आजानात्,
पुरस्कारमाप्तुं,:पुरस्कारम्,आप्तुं,
रुषाऽवदत्-,:रुषा,अवदत्-,
तदनन्तरमसौ,:तदनन्तरम्,असौ,
अभियोगमकरोत्।,:अभियोगम्,अकरोत्।,
सत्यमसत्यं,:सत्यम्,असत्यं,
आवयोर्मध्ये,:आवयोः,मध्ये,
सर्वमासीत्-,:सर्वम्,आसीत्-,
द्रष्टुमनर्हाऽहं,:द्रष्टुम्,अनर्हा,अहं,
कथमस्मै,:कथम्,अस्मै,
अनेनैव,:अनेन,एव,
वक्तुमर्हामि,:वक्तुम्,अर्हामि,
एतन्निशम्य,:एतत्,निशम्य,
वैद्योऽयं,:वैद्यो,अयं,
पापमार्गमाश्रयते,:पापमार्गम्,आश्रयते,
निर्मलमथ,:निर्मलम्,अथ,
क्षणेनैव,:क्षणेन,एव,
