मोदमवाप।,:मोदम्,अवाप।,
प्रेम्णाऽमिलत्,:प्रेम्णा,अमिलत्,
उपावेशयच्च।,:उपावेशयत्,च।,
स्थालकेऽस्थापयत्।,:स्थालके,अस्थापयत्।,
नाशक्नोत्,:न,अशक्नोत्,
नाश्नात्।,:न,अश्नात्।,
शृगालस्तु,:शृगालः,तु,
स्खलितमभूत्।,:स्खलितम्,अभूत्।,
नाखादः।,:न,आखादः।,
तद्वचनमाकर्ण्य,:तद्वचनम्,आकर्ण्य,
ततोऽसौ,:ततः,असौ,
सस्मितमुवाच,:सस्मितम्,उवाच,
निमन्त्रितोऽस्ति।,:निमन्त्रितः,अस्ति।,
शृगालोऽपि,:शृगालः,अपि,
तमालिङ्गत्,:तम्,आलिङ्गत्,
उपावेशयच्च।,:उपावेशयत्,च।,
भोक्तुमर्हति,:भोक्तुम्,अर्हति,
चणकमपि,:चणकम्,अपि,
नाखादत्।,:न,अखादत्।,
शठतामेव,:शठताम्,एव,
