सहयायिनोस्तयोः,:सहयायिनोः,तयोः,
मैत्रीसम्बन्धोऽभवत्।,:मैत्रीसम्बन्धः,अभवत्।,
तयोरेकतरोऽध्वनि,:तयोः,एकतरः,अध्वनि,
पतितमेकं,:पतितम्,एकं,
द्वितीयोऽपि,:द्वितीयः,अपि,
नूनमङ्गुलीयकं,:नूनम्,अङ्गुलीयकं,
लब्धमिति,:लब्धम्,इति,
ममाप्यस्मिन्,:मम,अपि,अस्मिन्,
कोपमुपागतः,:कोपम्,उपागतः,
कठोरवाचाऽवदत्-,:कठोरवाचा,अवदत्-,
किमर्थमहं,:किमर्थम्,अहं,
नाहम्।,:न,अहम्।,
मौनमालम्बत।,:मौनम्,आलम्बत।,
नैच्छत्।,:न,ऐच्छत्।,
किञ्चिदग्रे,:किञ्चित्,अग्रे,
तस्यैव,:तस्य,एव,
भ्रष्टमासीत्।,:भ्रष्टम्,आसीत्।,
उच्चैरक्रोशत्-,:उच्चैः,अक्रोशत्-,
द्वितीयमाह-,:द्वितीयम्,आह-,
किमधुना,:किम्,अधुना,
द्वितीयोऽभ्यधात्-,:द्वितीयः,अभ्यधात्-,
त्वयैवं,:त्वया,एवं,
निपतितोऽस्मि।,:निपतितः,अस्मि।,
विश्वसेत्तस्मिन्,:विश्वसेत्,तस्मिन्,
