सिंहोऽपश्यत्,:सिंहः,अपश्यत्,
सिहस्तं,:सिहः,तं,
मैत्रीमिच्छामि।,:मैत्रीम्,इच्छामि।,
किमभिमतं,:किम्,अभिमतं,
ह्वेलोऽवदत्-,:ह्वेलः,अवदत्-,
मैत्रीमासाद्य,:मैत्रीम्,आसाद्य,
विपदभिभूतोऽभवत्।,:विपदभिभूतः,अभवत्।,
महिषादूनमालक्ष्य,:महिषादूनम्,आलक्ष्य,
सहचरोऽसि।,:सहचरः,असि।,
साहाय्यमाचर,:साहाय्यम्,आचर,
येनाहं,:येन,अहं,
बहिर्नागच्छत्।,:बहिः,न,आगच्छत्।,
परावर्तनमकरोत्।,:परावर्तनम्,अकरोत्।,
तस्यैवंविधं,:तस्य,एवंविधं,
चेष्टितमालोक्य,:चेष्टितम्,आलोक्य,
तटादेव,:तटात्,एव,
तारस्वरेणाभाषत-,:तारस्वरेण,अभाषत-,
धूर्तश्चासि।,:धूर्तः,च,असि।,
मित्रताऽवसिता।,:मित्रता,अवसिता।,
वाचमाकर्ण्य,:वाचम्,आकर्ण्य,
वृथैव,:वृथा,एव,
क्षमतामवलोकयतु।,:क्षमताम्,अवलोकयतु।,
मत्तोऽधिकः,:मत्तः,अधिकः,
असवोऽपि,:असवः,अपि,
नोपयान्ति।,:न,उपयान्ति।,
