बृहत्सभामकार्षुः।,:बृहत्सभाम्,आकार्षुः।,
एकोऽवदत्,:एकः,अवदत्,
अशब्दमायाति,:अशब्दम्,आयाति,
द्वितीयोऽब्रवीत्-,:द्वितीयः,अब्रवीत्-,
मूषिकाश्च,:मूषिकाः,च,
निभृतमागत्य,:निभृतम्,आगत्य,
चतुर्थोऽभणत्-,:चतुर्थः,अभणत्-,
देहगन्धमाघ्राय,:देहगन्धम्,आघ्राय,
किमस्याः,:किम्,अस्याः,
वयमत्र,:वयम्,अत्र,
भीतेर्वातावरणे,:भीतेः,वातावरणे,
एकस्तरुणः,:एकः,तरुणः,
मूषकोऽवदत्-,:मूषकः,अवदत्-,
साऽस्या,:सा,अस्या,
तद्वचनावसानपूर्वमेव,:तद्वचनावसानपूर्वम्,एव,
इत्याकर्ण्य,:इति,आकर्ण्य,
सपद्येव,:सपदि,एव,
मुदमातनोति,:मुदम्,आतनोति,
खेदमेव,:खेदम्,एव,
