आसीदेकः,:आसीत्,एकः,
समास्थितोऽपि,:समास्थितः,अपि,
सोऽप्रमत्तः,:सः,अप्रमत्तः,
पवनान्दोलितपत्रशब्देनापि,:पवनान्दोलितपत्रशब्देन,अपि,
तदैव,:तदा,एव,
शशकोऽपि,:शशकः,अपि,
सद्योऽकूर्दत,:सद्यः,अकूर्दत,
श्वाऽपि,:श्वा,अपि,
तमनुससार।,:तम्,अनुससार।,
कुक्कुरश्च,:कुक्कुरः,च,
तमनासाद्य,:तम्,अनासाद्य,
प्रत्यावृत्योपविवेश।,:प्रत्यावृत्य,उपविवेश।,
तत्रावस्थितः,:तत्र,अवस्थितः,
कश्चिदाखेटकः,:कश्चित्,आखेटकः,
तयोर्धावनक्रियां,:तयोः,धावनक्रियां,
कुक्कुरमवेक्ष्य,:कुक्कुरम्,अवेक्ष्य,
तमभाषत-,:तम्,अभाषत-,
सुपुष्टगात्रोऽपि,:सुपुष्टगात्रः,अपि,
आवयोर्मध्ये,:आवयोः,मध्ये,
तत्त्वया,:तत्,त्वया,
भोजनार्थेऽहं,:भोजनार्थे,अहं,
कवलीकर्तुमैच्छम्।,:कवलीकर्तुम्,ऐच्छम्।,
भोजनेच्छोरपेक्षयाऽधिकं,:भोजनेच्छोरपेक्षया,अधिकं,
स्फूर्तिमांश्च,:स्फूर्तिमान्,च,
