कस्मिंश्चिदावसथे,:कस्मिंश्चित्,आवसथे,
तरुशाखादींश्छित्त्वा,:तरुशाखादीन्,छित्त्वा,
स्ववृत्तिमर्जयति,:स्ववृत्तिम्,अर्जयति,
काष्ठविक्रयलब्धद्रव्येणाऽसौ,:काष्ठविक्रयलब्धद्रव्येण,असौ,
सन्तोषवृत्तिमास्थाय,:सन्तोषवृत्तिम्,आस्थाय,
जीवनयापनमकार्षीत्।,:जीवनयापनम्,अकार्षीत्।,
परशुरेव,:परशुः,एव,
जीविकोपकरणमासीत्।,:जीविकोपकरणम्,आसीत्।,
तरुशाखामारूढस्य,:तरुशाखाम्,आरूढस्य,
परशुरभ्रश्यत्,:परशुः,अभ्रश्यत्,
चापतत्।,:च,अपतत्।,
सरितमवगाहितुं,:सरितम्,अवगाहितुं,
चान्वेष्टुम्,:च,अन्वेष्टुम्,
स्यादिति,:स्यात्,इति,
रोदितुमारेभे।,:रोदितुम्,आरेभे।,
वराकोऽहम्।,:वराकः,अहम्।,
साऽवदत्,:सा,अवदत्,
धैर्यमाधत्स्व।,:धैर्यम्,आधत्स्व।,
परशुमुद्धृत्य,:परशुम्,उद्धृत्य,
तमुवाच-,:तम्,उवाच-,
परशुमानीतवती।,:परशुम्,आनीतवती।,
सोऽपि,:सः,अपि,
त्रीनेव,:त्रीन्,एव,
सोऽपि,:सः,अपि,
गृहमपावृत्तः।,:गृहम्,अपावृत्तः।,
वृत्तमजानन्,:वृत्तम्,अजानन्,
परशुमादाय,:परशुम्,आदाय,
चारभत।,:च,आरभत।,
पूर्ववदेव,:पूर्ववत्,एव,
किमिति,:किम्,इति,
सोऽवदत्-,:सः,अवदत्-,
परशुमधिगन्तुमीहे।,:परशुम्,अधिगन्तुम्,ईहे।,
तत्क्षणमेव,:तत्क्षणम्,एव,
किमेषोऽस्ति,:किम्,एषः,अस्ति,
झटित्युवाच,:झटिति,उवाच,
सरोषमुवाच-,:सरोषम्,उवाच-,
गच्छेतः।,:गच्छ,इतः।,
लोहपरशुरपि,:लोहपरशुः,अपि,
नतमूर्धाऽसौ,:नतमूर्धा,असौ,
गृहमाजगाम।,:गृहम्,आजगाम।,
निष्ठापरोऽलुब्धः,:निष्ठापरः,अलुब्धः,
विन्दत्येव,:विन्दति,एव,
