ग्रामेऽवसताम्।,:ग्रामे,अवसताम्।,
तयोरुदरभरणाय,:तयोः,उदरभरणाय,
सुलभमासीत्।,:सुलभम्,आसीत्।,
कदाचित्ते,:कदाचित्,ते,
नद्यामेकं,:नद्याम्,एकं,
पारगमन-साधनमासीत्।,:पारगमन-साधनम्,आसीत्।,
सेतुनाऽनेन,:सेतुना,अनेन,
गन्तमशक्नोत्।,:गन्तम्,अशक्नोत्।,
सेतुमारुह्य,:सेतुम्,आरुह्य,
अजाऽपि,:अजा,अपि,
सेतुमध्यमागच्छत्।,:सेतुमध्यम्,आगच्छत्।,
नद्यास्तीव्रवेगे,:नद्याः,तीव्रवेगे,
पतनभयमविद्यत।,:पतनभयम्,अविद्यत।,
तयोरेका,:तयोः,एका,
सेतावुपाविशत्।,:सेतौ,उपाविशत्।,
अपराऽजा,:अपरा,अजा,
अजाऽपि,:अजा,अपि,
इदमवधार्यम्,:इदम्,अवधार्यम्,
