कस्मिंश्चित्,:कस्मिंन्,चित्,
मरणानन्तरं,:मरण,अनन्तरं,
स्वग्राममागत्य,:स्वग्राम्,आगत्य,
पुष्पलताश्च,:पुष्पलताः,च,
धर्मानुष्ठानं,:धर्म,अनुष्ठानं,
आयुरक्षपयत्।,:आयुः,अक्षपयत्।,
नामैव,:नाम,ऐव,
लघुवनमंतिक्रम्य,:लघुवनम्,अतिक्रम्य,
गन्तव्यमासीत्।,:गन्तव्यम्,आसीत्।,
गन्तव्यमासीत्।,:गन्तव्यम्,आसीत्।,
अतिनिपुणश्च,:अतिनिपुणः,च,
विस्मिताऽभूत्।,:विस्मिता,अभूत्।,
किञ्चिदपि,:किञ्चित्,अपि,
सुरेशस्तु,:सुरेशः,तु,
प्रणाममपि,:प्रणाम्,अपि,
अवगतमासीत्,:अवगतम्,आसीत्,
तदैव,:तदा,एव,
स्मराम्यहम्।,:स्मरामि,अहम्।,
अद्यावधि,:अद्य,अवधि,
भवद्दर्शनं,:भवत्,दर्शनं,
पुत्रस्तु,:पुत्रः,तु,
जानात्येव,:जानाति,एव,
समयमपि,:समयम्,अपि,
एतदिति।",:एतत्,इति।",
किमप्यपश्यत्,:किमपि,अपश्यत्,
सुरेशस्तु,:सुरेशः,तु,
वहाम्यहम्,:वहामि,अहम्,
