अमरापुरमध्युवास।,:अमरापुरीम्,अध्युवास।,
नापारयत्।,:न,अपारयत्।,
सममन्त्रयत्।,:समम्,अन्त्रयत्।,
उचितस्तत्र,:उचितः,तत्र,
चिन्ताकुलोऽभवत्।,:चिन्ताकुलः,अभवत्।,
कमप्युपायम्,:कमपि,उपायम्,
तदभ्युपपद्यत।,:तत्,अभ्युपपद्यत।,
वनमगच्छत्।,:वनम्,अगच्छत्।,
किञ्चिद्दूरमेव,:किञ्चित्,दूरमेव,
धावन्नेव,:धावन्,एव,
तावुपसृत्य,:तौ,उपसृत्य,
मन्त्रिणश्च,:मन्त्रिणः,च,
नगरीरक्षणमिति,:नगरीरक्षणम्,इति,
समन्ततश्चोरैः,:समन्ततः,चोरैः,
प्रभवेन्नाम,:प्रभवेत्,नाम,
अतस्त्वरावहे,:अतः,त्वरावहे,
विक्रान्तश्च,:विक्रान्तः,च,
तद्रक्षणं,:तत्,रक्षणं,
नात्मानं,:न,आत्मानं,
पुरीमेव,:पुरीम्,एव,
गच्छाम",:गच्छामः,",
विजयस्तु,:विजयः,तु,
नैवमहं,:न,एवम्,अहं,
वदन्नेव,:वदन्,एव,
एतयोर्मध्ये,:एतयोः,मध्ये,
सिंहासनमारोढुं,:सिंहासनम्,आरोढुं,
राजानमुपगम्य,:राजानम्,उपगम्य,
उभावपि,:उभौ,अपि,
प्रजानाञ्च,:प्रजानाम्,च,
रक्षणमेव,:रक्षणम्,एव,
तस्याधिकः,:तस्य,अधिकः,
चाधिकृत्यैव,:च,अधिकृत्यैव,
एवार्हति।,:एव,अर्हति।,
भवेयुरिति,:भवेयुः,इति,
तदन्वमोदत।,:तत्,अन्वमोदत।,
