बृहदश्वोऽहं,:बृहदश्वः,अहं,
हंसमिथनमिव,:हंसमिथनम्,इव,
एतद्धि,:एतत्,हि,
शोभामुद्भावयति।,:शोभाम्,उद्भावयति।,
किमेतानि,:किम्,एतानि,
नैतत्समयोचितम्।,:न,एतत्,समयोचितम्।,
नास्माकं,:न,अस्माकं,
समयाऽसमयपरिज्ञानम्,:समय,असमयपरिज्ञानम्,
तत्सम्भावनावसरश्च,:तत्सम्भावनावसरः,च,
सिञ्चेयमिति,:सिञ्चेयम्,इति,
कथमेतादृशी,:कथम्,एतादृशी,
इदानीमेव,:इदानीम्,एव,
भुवमवतीर्णाः।,:भुवम्,अवतीर्णाः।,
एतेषामागमनं,:एतेषाम्,आगमनं,
भवेति,:भव,इति,
विलासचेष्टाभिरलम्,:विलासचेष्टाभिः,अलम्,
माऽभूत्।,:मा,अभूत्।,
कुतस्तव,:कुतः,तव,
मन्मथमपहाय,:मन्मथम्,अपहाय,
कमन्यं,:कम्,अन्यं,
भवितुमर्हति।,:भवितुम्,अर्हति।,
देवराजमिन्द्रमपि,:देवराजम्,इन्द्रमपि,
समुद्युक्तोऽपि,:समुद्युक्तः,अपि,
नाशकत्।,:न,अशकत्।,
नलेनैव,:नलेन,एव,
नार्हसि।,:न,अर्हसि।,
कार्यमेतत्,:कार्यम्,एतत्,
अस्त्युपायः।,:अस्ति,उपायः।,
कार्यमिदं,:कार्यम्,इदं,
सुसाध्यमेव।,:सुसाध्यम्,एव।,
नैवाभवत्,:नैव,अभवत्,
अस्मत्कार्यं,:अस्मत्,कार्यं,
केवलमधुना,:केवलम्,अधुना,
चेति।,:च,इति।,
अयमहो,:अयं,अहो,
सन्ध्यामुपासित्वा,:सन्ध्याम्,उपासित्वा,
तमुपसृत्य,:तम्,उपसृत्य,
शुभकार्यमेतदुपक्रमावहे।,:शुभकार्यम्,एतत्,उपक्रमावहे।,
महर्षिमुपसृत्य),:महर्षिम्,उपसृत्य),
विजयोऽस्तु।,:विजयः,अस्तु।,
मामवगच्छन्त्यपि,:माम्,अवगच्छन्ती,अपि,
देवजातिप्रसूतावपि,:देवजातिप्रसूतौ,अपि,
तिर्यक्त्वमस्मदज्ञानहेतुः।,:तिर्यक्त्वम्,अस्मदज्ञानहेतुः।,
भवन्त्विति।,:भवन्तु,इति।,
विजयोऽस्तु।,:विजयः,अस्तु।,
परिसमापनोत्सवमद्य,:परिसमापनोत्सवम्,अद्य,
कर्तुमिच्छामि।,:कर्तुम्,इच्छामि।,
नलोऽपि,:नलः,अपि,
पुनर्दर्शनाय।,:पुनः,दर्शनाय।,
अस्माकमपि,:अस्माकम्,अपि,
विजयोऽस्तु।,:विजयः,अस्तु।,
