(नलस्योद्यानम्।,:(नलस्य,उद्यानम्।,
आकाशादवतरणध्वनिः,:आकाशात्,अवतरणध्वनिः,
नलश्च),:नलः,च),
यद्यहं,:यदि,अहं,
विलम्बोऽपि,:विलम्बः,अपि,
मामाश्लिष्यसि,:माम्,आश्लिष्यसि,
चेदेव,:चेत्,एव,
प्रथममाश्लिष्यतु।,:प्रथम्,आश्लिष्यतु।,
त्वमवोचः,:त्वम्,अवोचः,
हंसीमाश्लिष्य),:हंसीम्,आश्लिष्य),
कथयेदानीम्।,:कथय,इदानीम्।,
दमयन्त्यपि,:दमयन्ती,अपि,
तमेव,:तम्,एव,
खल्वसि।,:खल्वु,असि।,
किमकथयत्?,:किम्,अकथयत्?,
मह्यमदर्शयत्।,:मह्यम्,अदर्शयत्।,
एवमगदत्।,:एवम्,अगदत्।,
तावदहं,:तावत्,अहं,
तमेतच्चित्रपटस्थमेव,:तम्,एतत्,चित्रपटस्थम्,एव,
कालमतिवाहयामि।",:कालम्,अतिवाहयामि।",
कथमपाकुर्वे।,:कथम्,अपाकुर्वे।,
किमधुना,:किम्,अधुना,
वक्तव्यास्ति।,:वक्तव्या,अस्ति।,
विषयान्तरमिव,:विषयान्तरम,इव,
स्वयंवरमपि,:स्वयंवरम्,अपि,
श्रेयस्समनुबध्नाति।,:श्रेयः,समनुबध्नाति।,
यावन्ममोद्वाहं,:यावत्,मम,उद्वाहं,
त्वमत्रैव,:त्वम्,अत्रैव,
पद्मसरोऽपि,:पद्मसरः,अपि,
नाहमत्र,:न,अहम्,अत्र,
गन्तव्योऽस्ति।,:गन्तव्यः,अस्ति।,
प्रदेयेति,:प्रदेया,इति,
