इन्द्रवरुणकुबेरधर्मराजाश्च),:इन्द्रवरुणकुबेरधर्मराजाः,च),
-,:स्वयंवरार्थम्,अद्यैव,
मामनुगृह्णन्तु।,:माम्,अनुगृह्णन्तु।,
मामनुगृहाण।,:माम्,अनुगृहाण।,
मामनुगृहाण।,:माम्,अनुगृहाण।,
दानव्रतमविच्छिन्नं,:दानव्रतम्,अविच्छिन्नं,
मामनुगृहाण।,:माम्,अनुगृहाण।,
मामनुगृहाण।,:माम्,अनुगृहाण।,
तवाभिलषितं,:तव,अभिलषितं,
कर्तुमुपस्थिताः।,:कर्तुम्,उपस्थिताः।,
त्वमपि,:त्वम्,अपि,
त्वमस्माकं,:त्वम्,अस्माकं,
अस्मदन्यतमं,:अस्मत्,अन्यतमं,
युष्मदन्यतमं,:युष्मत्,अन्यतमं,
कर्तव्यमिति।,:कर्तव्यम्,इति।,
अहमपि,:अहम्,अपि,
दमयन्तीस्वयंवरार्थमेव,:दमयन्तीस्वयंवरार्थम्,एव,
अस्मदभ्यर्थनाम्,:अस्मत्,अभ्यर्थनाम्,
प्रतिज्ञातवानसि,:प्रतिज्ञातवान्,असि,
किमिदमुचितम्,:किम्,इदम्,उचितम्,
दैवविलसितमेतत्,:दैवविलसितम्,एतत्,
प्राणानेव,:प्राणान्,एव,
एतावत्पर्यन्तं,:एतावत्,पर्यन्तं,
एकान्तसम्भाषणमपि,:एकान्तसम्भाषणम्,अपि,
भगवदिच्छा,:भगवत्,इच्छा,
भूत्वाऽहं,:भूत्वा,अहं,
प्रवेष्टुमुद्यतः,:प्रवेष्टुम्,उद्यतः,
