परस्परसम्भाषणैस्सकलकलम्।,:परस्परसम्भाषणैः,सकलकलम्।,
एतदन्तःपुरोद्यानम्,:एतत्,अन्तःपुरोद्यानम्,
कोकिलालापसुन्दरमिव,:कोकिलालापसुन्दरम्,इव,
नाहं,:न,अहं,
स्तनावावृणोति।,:स्तनौ,आवृणोति।,
वदनमन्यतः,:वदनम्,अन्यतः,
जातमिति,:जातं,इति,
अहमत्र,:अहम्,अत्र,
परिश्रान्तास्मि।,:परिश्रान्ता,अस्मि।,
मामाह्वय।,:माम्,आह्वय।,
सैषा,:सा,एषा,
त्वमेव,:त्वम्,एव,
(उच्चैर्हसित्वा),:(उच्चैः,हसित्वा),
किमप्यहं,:किमपि,अहं,
नाऽपि,:न,अपि,
सेयं,:सा,इयं,
किञ्चिन्मृदु,:किञ्चित्,मृदु,
किञ्चित्कठिना,:किञ्चित्,कठिना,
अहमत्रैव,:अहम्,अत्रैव,
एवमेव,:एवम्,एव,
अहमेव,:अहम्,एव,
पुनर्ललाटं,:पुनः,ललाटं,
सैषा,:सा,एषा,
मामुज्झित्वा,:माम्,उज्झित्वा,
पुनरहं,:पुनः,अहं,
नोपविशामि।,:न,उपविशामि।,
गच्छाम्येव।,:गच्छामि,एव।,
किमेतत्।,:किम्,एतत्।,
नापि,:न,अपि,
यतश्च,:यतः,च,
त्वमतीव,:त्वम्,अतीव,
किमित्यहं,:किमिति,अहं,
आवयोर्मध्ये,:आवयोः,मध्ये,
शून्यमेवास्ति।,:शून्यम्,एव,अस्ति।,
संश्लिष्टमिव,:संश्लिष्टम्,इव,
एतत्सर्वं,:एतत्,सर्वं,
तिलकालङ्करणमवसितम्।,:तिलकालङ्करणम्,अवसितम्।,
समाश्वसितोऽस्मि।,:समाश्वसितः,अस्मि।,
सैषा,:सा,एषा,
एतन्मम,:एतत्,मम,
चित्रमेव।,:चित्रम्,एव।,
मामेव,:माम्,एव,
नाहं,:न,अहं,
मामाह्वयति?,:माम्,आह्वयति?,
(किञ्चिदिव,:(किञ्चित्,इव,
स्मृतिमभिनीय),:स्मृतिम्,अभिनीय),
(नलमुद्दिश्य),:(नलम्,उद्दिश्य),
अहमेव।,:अहम्,एव।,
अहमद्य,:अहम्,अद्य,
प्रथमोऽयं,:प्रथमः,अयं,
नाऽहं,:न,अहं,
सन्तोषमुपलक्षये।,:सन्तोषम्,उपलक्षये।,
स्वयंवरार्थमागच्छन्तं,:स्वयंवरार्थम्,आगच्छन्तं,
ज्ञात्वापि,:ज्ञात्वा,अपि,
तवान्तिकं,:तव,अन्तिकं,
कस्तेषां,:कः,तेषां,
तेषामन्यतमः,:तेषाम्,अन्यतमः,
भूत्वाऽपि,:भूत्वा,अपि,
मर्त्यकन्यामिच्छन्ति!,:मर्त्यकन्याम्,इच्छन्ति!,
तेषामिदं,:तेषाम्,इदं,
नोचितमेव।,:न,उचितम,एव।,
मामात्मसात्,:माम्,आत्मसात्,
देवतादौत्यमङ्गीकरोमीति,:देवतादौत्यमङ्गीकरोमि,इति,
आगतोऽहं,:आगतः,अहं,
हृदयमतीव,:हृदयम्,अतीव,
मामनुगृहाण।,:माम्,अनुगृहाण।,
दिक्पालकसमक्षमेव,:दिक्पालकसमक्षम्,एव,
स्वयंवरसभायामेव,:स्वयंवरसभायाम्,एव,
पुनर्दर्शनम्।,:पुनः,दर्शनम्।,
अहमधुनैव,:अहम्,अधुना,एव,
मामर्थयन्ते,:माम्,अर्थयन्ते,
अधुनैव,:अधुना,एव,
