आजीवनमविवाहितः,:आजीवनम्,अविवाहितः,
वर्षमाधिपत्यं,:वर्षम्,आधिपत्यं,
गत्वाऽपि,:गत्वा,अपि,
प्राप्तुमसमर्थः।,:प्राप्तुम्,असमर्थः।,
युद्धक्षेत्रमस्ति।,:युद्धक्षेत्रम्,अस्ति।,
धर्माधारेणैव,:धर्माधारेण,एव,
सम्बोधनमासीत्।,:सम्बोधनम्,आसीत्।,
कृत्वाऽपि,:कृत्वा,अपि,
नाशानन्तरमेव,:नाशानन्तरम्,एव,
आधिपत्यमहं,:आधिपत्यम्,अहं,
चिन्तनमासीत्।,:चिन्तनम्,आसीत्।,
दुर्योधनमुपदिष्टवान्।,:दुर्योधनम्,उपदिष्टवान्।,
स्वपक्षमानीतः।,:स्वपक्षम्,आनीतः।,
लाक्षागृहमग्निना,:लाक्षागृहम्,अग्निना,
अचिरादेव,:अचिरात्,एव,
वनाद्वने,:वनात्,वने,
मातरमवदन्,:मातरम्,अवदन्,
भिक्षामानीतवन्तः",:भिक्षाम्,आनीतवन्तः",
एवमुक्तवती,:एवम्,उक्तवती,
एवमवदम्।,:एवम्,अवदम्।,
स्वयंवरकथामवदत्।,:स्वयंवरकथाम्,अवदत्।,
भिक्षान्नमानीतवन्तः,:भिक्षान्नम्,आनीतवन्तः,
अहमेतत्,:अहम्,एतत्,
अयोग्यमस्ति,:अयोग्यम्,अस्ति,
पालनमस्माकं,:पालनम्,अस्माकं,
लाभार्थमस्ति।,:लाभार्थम्,अस्ति।,
भयकारणमासीत्।,:भयकारणम्,आसीत्।,
पाण्डवानामनुपस्थित्यां,:पाण्डवानाम्,अनुपस्थित्यां,
स,इच्छति,:सः,इच्छति,
भव्यमतिथिगृहं,:भव्यम्,अतिथिगृहं,
क्रीडितुमसमर्थः।,:क्रीडितुम्,असमर्थः।,
द्यूतक्रीडार्थमाह्वयतु।,:द्यूतक्रीडार्थम्,आह्वयतु।,
योजनमपि,:योजनम्,अपि,
तमुद्देशं,:तम्,उद्देशं,
अयोग्यव्यसनमिति,:अयोग्यव्यसनम्,इति,
इदानीमहं,:इदानीम्,अहं,
दातुमत्र,:दातुम्,अत्र,
कर्कदंशमिव,:कर्कदंशम्,इव,
ममेच्छा,:मम,इच्छा,
कर्तव्यमपि,:कर्तव्यम्,अपि,
एष,एव,:एषः,एव,
क्रीडामपश्यताम्।,:क्रीडाम्,अपश्यताम्।,
प्रयत्नमकरोत्।,:प्रयत्नम्,अकरोत्।,
प्रतिज्ञामकरोत्,:प्रतिज्ञाम्,अकरोत्,
भयमनुभूतवान्।,:भयम्,अनुभूतवान्।,
कर्तुमुपदिष्टवन्तौ।,:कर्तुम्,उपदिष्टवन्तौ।,
तामाहूय,:ताम्,आहूय,
यदिच्छसि,:यत्,इच्छसि,
चास्ति।,:च,अस्ति।,
द्यूतक्रीडामायोजतवान्।,:द्यूतक्रीडाम्,आयोजतवान्।,
द्यूतक्रीडार्थमाहूय,:द्यूतक्रीडार्थम्,आहूय,
चानुभवति।,:च,अनुभवति।,
पालनमस्माकं,:पालनम्,अस्माकं,
चर्चामकुर्वन्।,:चर्चाम्,अकुर्वन्।,
उल्लङ्घनमभवत्।,:उल्लङ्घनम्,अभवत्।,
कारणमस्ति।,:कारणम्,अस्ति।,
कर्तव्यमेव।,:कर्तव्यम्,एव।,
स,तु,:सः,तु,
वनाद्वने,:वनात्,वने,
आदरमातिथ्यं,:आदरम्,आतिथ्यं,
बन्धनमपि,:बन्धनम्,अपि,
मतमासीत्।,:मतम्,आसीत्।,
अहमानीतवान्,:अहम्,आनीतवान्,
समिधमानेतुं,:समिधम्,आनेतुं,
सहितमरण्यं,:सहितम्,अरण्यं,
वृक्षमारुह्य,:वृक्षम्,आरुह्य,
जलमस्ति,:जलम्,अस्ति,
जलमानेतुं,:जलम्,आनेतुं,
तत्कालमेव,:तत्कालम्,एव,
जलमानेतुं,:जलम्,आनेतुं,
तस्मिन्नेव,:तस्मिन्,एव,
पातुमिच्छसि,:पातुम्,इच्छसि,
अहमुत्तरं,:अहम्,उत्तरं,
तस्यामेव,:तस्याम्,एव,
समानमस्ति।,:समानम्,अस्ति।,
श्रेष्ठधनमस्ति।,:श्रेष्ठधनम्,अस्ति।,
द्रष्टुमिच्छसि?,:द्रष्टुम्,इच्छसि?,
तदनन्तरमज्ञातवासः,:तदनन्तरम्,अज्ञातवासः,
दासीकार्यमकरोत्,:दासीकार्यम्,अकरोत्,
युद्धमभवत्।,:युद्धम्,अभवत्।,
मार्गमदर्शयत्।,:मार्गम्,अदर्शयत्।,
मृत्योरनन्तरं,:मृत्योः,अनन्तरं,
प्राप्तुमसमर्थः।,:प्राप्तुम्,असमर्थः।,
गृहस्थाश्रममत्यजत्।,:गृहस्थाश्रमम्,अत्यजत्।,
स्वराज्यमभिमन्योः,:स्वराज्यम्,अभिमन्योः,
महाप्रस्थानमारब्धवान्,:महाप्रस्थानम्,आरब्धवान्,
निष्ठापूर्वमगच्छत्।,:निष्ठापूर्वम्,अगच्छत्।,
निष्ठापूर्वकमगच्छत्।,:निष्ठापूर्वकम्,अगच्छत्।,
युधिष्ठिरसमीपमागतवान्।,:युधिष्ठिरसमीपम्,आगतवान्।,
पार्थिवदेहमत्यजन्।,:पार्थिवदेहम्,अत्यजन्।,
अतीवानन्दितः,:अतीव,आनन्दितः,
