भूपतिमुपगम्य,:भूपतिम्,उपगम्य,
शनैर्बभाषे,:शनैः,बभाषे,
किमभवत्,:किम्,अभवत्,
सोऽवदत्,:सः,अवदत्,
भूपालस्तम्,:भूपालः,तम्,
सम्पर्कोऽस्ति,:सम्पर्कः,अस्ति,
सोऽस्मत्सम्बन्धस्य,:सः,अस्मत्,सम्बन्धस्य,
तदाकर्ण्य,:तत्,आकर्ण्य,
कुपितश्च,:कुपितः,च,
भूत्वाऽवदत्,:भूत्वा,अवदत्,
अहन्तु,:अहं,तु,
तद्विषये,:तत्,विषये,
भूपालोऽभ्यभाषत,:भूपालः,अभ्यभाषत,
निष्ठावांश्च।,:निष्ठावान्,च।,
तदलीकम्,:तत्,अलीकम्,
सभासदुक्तवान्,:सभासत्,उक्तवान्,
तस्मादप्यधिकमहम्,:तस्मात्,अपि,अधिकम्,अहम्,
मयाऽयम्,:मया,अयम्,
तस्यैतया,:तस्य,एतया,
नृपस्तद्विषये,:नृपः,तद्विषये,
सोऽस्मिन्,:सः,अस्मिन्,
राजानश्चारचक्षुषः,:राजानः,चारचक्षुषः,
अतस्ते,:अतः,ते,
विश्वसन्त्येव,:विश्वसन्ति,एव,
वचस्यासन्नवर्तिनाम्,:वचसि,आसन्नवर्तिनाम्,
बुधानामपि,:बुधानाम्,अपि,
तमवदत्,:तम्,अवदत्,
महीपतेरिमम्,:महीपतेः,इमम्,
नाशक्नोत्,:न,अशक्नोत्,
धृतमौनमालक्ष्य,:धृतमौनम्,आलक्ष्य,
स्वीकृतेर्लक्षणं,:स्वीकृतेः,लक्षणं,
तच्छ्रुत्वा,:तत्,श्रुत्वा,
साश्रुनयनः,:सः,अश्रुनयनः,
तेनालीरामोऽवदत्,:तेनालीरामः,अवदत्,
तस्येदं,:तस्य,इदं,
घृतमिव,:घृतम्,इव,
अविलम्बमेव,:अविलम्बम्,एव,
कृतसन्धानोऽसि,:कृतसन्धानः,असि,
तेनालीरामोऽवदत्,:तेनालीरामः,अवदत्,
आचरितोऽभविष्यत्,:आचरितः,अभविष्यत्,
अकृत्वैव,:अकृत्वा,एव,
यत्प्रोच्यतेऽकाले,:यत्प्रोच्यते,अकाले,
तच्छुभावहम्,:तत्,शुभावहम्,
बीजमुप्तमकाले,:बीजमुप्तम्,अकाले,
यदाग्रिमे,:यदा,अग्रिमे,
राज्यपरित्यागवार्ताऽऽकर्णिता,:राज्यपरित्यागवार्ता,आकर्णिता,
गुणिनामतुलं,:गुणिनाम्,अतुलं,
राजानमुपगतः,:राजानम्,उपगतः,
प्रशंसामाकर्ण्य,:प्रशंसाम्,आकर्ण्य,
नृपतिस्तं,:नृपतिः,तं,
तेनालीरामोऽस्मि,:तेनालीरामः,अस्मि,
सम्भावनामकार्षीत्,:सम्भावनाम्,अकार्षीत्,
निर्भयमत्र,:निर्भयम्,अत्र,
भवितुमर्हति।,:भवितुम्,अर्हति।,
स्मित्वाऽभाषत,:स्मित्वा,अभाषत,
प्रशासकश्च,:प्रशासकः,च,
महाराजोऽपि,:महाराजः,अपि,
भ्रान्तेर्निवारणायैव,:भ्रान्तेः,निवारणाय,एव,
प्रेषितोऽस्मि,:प्रेषितः,अस्मि,
कृष्णदेवरायोऽस्माकं,:कृष्णदेवरायः,अस्माकं,
पुनरवदत्,:पुनः,अवदत्,
सोऽस्मान्,:सः,अस्मान्,
आक्रमितुमीहते,:आक्रमितुम्,ईहते,
एतन्निशम्य,:एतत्,निशम्य,
गम्भीरस्वरेणोवाच,:गम्भीरस्वरेण,उवाच,
गूढचारिणोऽपि,:‌गूढचारिणः,अपि,
एवमालपन्ति,:एवम्,आलपन्ति,
भ्रान्तिमपासितुमेव,:भ्रान्तिम्,अपासितुम्,एव,
भवदभ्याशे,:भवत्,अभ्याशे,
प्रेषितोऽस्मि,:प्रेषितः,अस्मि,
इदन्तु,:इदं,तु,
विनाशमेव,:विनाशम्,एव,
कृष्णदेवरायश्च,:कृष्णदेवरायः,च,
भवतोर्मध्ये,:भवतोः,मध्ये,
सान्त्वनामाप्य,:सान्त्वनां,आप्य,
भूपोऽब्रवीत्,:भूपः,अब्रवीत्,
कथमिदं,:कथम्,इदं,
अस्मद्भूपतेः,:अस्मत्,भूपतेः,
निजमेकं,:निजम्,एकं,
भवत्प्रेषितोपहारः,:भवत्,प्रेषितः,उपहारः,
मैत्रीसम्बन्धमभिलषतीति,:मैत्रीसम्बन्धम्,अभिलषति,इति,
यद्यसौ,:यदि,असौ,
तदाऽहं,:तदा,अहं,
दण्डमर्हामि,:दण्डम्,अर्हामि,
राजाऽवोचत्,:राजा,अवोचत्,
त्वद्वचनं,:त्वत्,वचनं,
चेत्प्रेष्यते,:चेत्,प्रेष्यते,
सन्धिप्रस्तावमादाय,:सन्धिप्रस्तावम्,आदाय,
भवत्समीपम्,:भवत्,समीपम्,
आगतोऽस्मि,:आगतः,अस्मि,
अस्मद्राज्यस्य,:अस्मत्,राज्यस्य,
कृष्णदेवोऽपि,:कृष्णदेवः,अपि,
तद्विरोधिनां,:तत्,वििरोधिनां,
मोदमवाप,:मोदम्,अवाप,
निवेदनमपि,:निवेदनम्,अपि,
कृतमासीत्,:कृतम्,आसीत्,
विशिष्टैरुपहारैस्तं,:विशिष्टैः,पहारैः,तं,
तद्विरुद्धं,:तत्,विरुद्धं,
कृताऽऽसीत्,:कृता,आसीत्,
