इदमभियानमासीत्,:इदम्,अभियानम्,आसीत्,
चिन्तामापेदे,:चिन्ताम्,आपेदे,
अय्यर',:अय्यरः,',
विश्वासमुत्पाद्य,:विश्वासम्,उत्पाद्य,
हन्यादिति,:हन्यात्,इति,
आक्रमितुमपि,:आक्रमितुम्,अपि,
तमिलब्राह्मणानामाचारविचाराणामभिज्ञः,:तमिलब्राह्मणानाम्,आचारविचाराणाम्,अभिज्ञः,
कृतनिवासश्चासीत्,:कृतनिवासः,च,आसीत्,
वेषधरोऽसौ,:वेषधरः,असौ,
संस्कृतमवदत्,:संस्कृतम्,अवदत्,
स्थानमर्जितम्,:स्थानम्,अर्जितम्,
इवाचरत्,:इव,आचरत्,
अन्तःप्रकोष्ठेष्वपि,:अन्तःप्रकोष्ठेषु,अपि,
यत्रापि,:यत्र,अपि,
तेनालीरामोऽपि,:तेनालीरामः,अपि,
राजसमक्षमेव,:राजसमक्षम्,एव,
तमपृच्छत्,:तम्,अपृच्छत्,
गोत्रश्च,:गोत्रः,च,
संस्कृतिगोत्रश्च,:संस्कृतिगोत्रः,च,
त्वयाऽयं,:त्वया,अयं,
सोऽवादीत्,:सः,अवादीत्,
इत्याशङ्‌कयाऽकुलं,:इति,आशङ्‌कया,अकुलं,
राज्ञोक्तं,:राज्ञा,उक्तं,
देवार्चनाभिश्च,:देवार्चनाभिः,च,
नापगतः,:न,अपगतः,
प्रदर्शनार्थमपि,:प्रदर्शनार्थम्,अपि,
नृपतिरवदत्,:नृपतिः,अवदत्,
गाम्भीर्यमस्ति,:गाम्भीर्यम्,अस्ति,
ममैकस्य,:मम,एकस्य,
मृतेऽपि,:मृते,अपि,
एकोऽपि,:एकः,अपि,
नृपोऽपृच्छत्,:नृपः,अपृच्छत्,
तेनालीरामोऽवदत्,:तेनालीरामः,अवदत्,
सरलेनोपायेन,:सरलेन,उपायेन,
नृपोऽभणत्,:नृपः,अभणत्,
मत्समक्षमेव,:मत्समक्षम्,एव,
नासौ,:न,असौ,
तस्यामेव,:तस्याम्,एव,
प्रगाढनिद्रासुखमनुभवति,:प्रगाढनिद्रासुखम्,अनुभवति,
तेनालीरामश्च,:तेनालीरामः,च,
खड्गमाकृष्य,:खड्गम्,आकृष्य,
नृपेणापि,:नृपेण,अपि,
