उपहारांश्च,:उपहारान्,च,
भूरिसम्मानोऽभवत्,:भूरिसम्मानः,अभवत्,
गमनोद्यतोऽभवत्,:गमनोद्यतः,अभवत्,
तमुवाच,:तम्,उवाच,
तुभ्यमपि,:तुभ्यम्,अपि,
कञ्चिदुपहारं,:कञ्चित्,उपहारं,
किमिष्यते,:किम्,इष्यते,
साधयितुमियेष,:साधयितुम्,इयेष,
सोऽब्रवीत्,:सः,अब्रवीत्,
एतन्निशम्य,:एतत्,निशशम्य,
कमुपहारं,:कम्,उपहारं,
सभासदोऽपि,:सभासदः,अपि,
तादृशोपहारं,:तादृशः,उपहारं,
नाशक्नुवन्,:न,अशक्नुवन्,
प्रश्नदृष्ट्याऽपश्यत्,:प्रश्नदृष्ट्या,अपश्यत्,
सविनयमब्रवीत्,:सविनयम्,अब्रवीत्,
उपहारोऽस्मै,:उपहारः,अस्मै,
प्रस्थातुमनसोऽतिथेः,:प्रस्थातुमनसः,अतिथेः,
मुक्तप्राङ्गणेऽक्रियत,:मुक्तप्राङ्गणे,अक्रियत,
क्वास्ते,:क्व,आस्ते,
विहस्यावदत्,:विहस्य,अवदत्,
उपहारस्तु,:उपहारः,तु,
सोऽधुनाऽपि,:सः,अधुना,अपि,
सन्निधानेऽस्ति,:सन्निधाने,अस्ति,
क्वासौ,:क्व,असौ,
ममोपहारः,:मम,उपहारः,
सोऽवदत्,:सः,अवदत्,
दूतोऽवदत्,:दूतः,अवदत्,
भवन्तमन्तरेण,:भवन्तम्,अन्तरेण,
तथाऽस्ति,:तथा,अस्ति,
मयैतादृशः,:मया,एतादृशः,
भवताऽहं,:भवता,अहं,
स्मितोज्ज्वलम्,:स्मिता,उज्ज्वलम्,
