धेनोर्दुग्धेन,:धेनोः,दुग्धेन,
धेनुरपि,:धेनुः,अपि,
तेनालीरामोऽपि,:तेनालीरामः,अपि,
धेनुरेकां,:धेनुः,एकां,
मुखमक्षिपत्,:मुखम्,अक्षिपत्,
दुग्धमपि,:दुग्धम्,अपि,
नापिबत्,:न,अपिबत्,
पुष्टाङ्गाश्च,:पुष्टाङ्गाः,च,
चासीत्,:च,आसीत्,
स्पर्शमपि,:स्पर्शम्,अपि,
नृपेणोक्तम्,:नृपेण,उक्तम्,
कंसमानाय्य,:कंसम्,आनाय्य,
पयोऽमृतं,:पयः,अमृतं,
दृष्ट्वैव,:दृष्ट्वा,एव,
तेनालीरामोऽवदत्,:तेनालीरामः,अवदत्,
राज्ञाऽभाणि,:राज्ञा,अभाणि,
परमहं,:परम्,अहं,
ततोऽसौ,:ततः,असौ,
व्रणचिह्नमासीत्।,:व्रणचिह्नम्,आसीत्।,
रुषाऽब्रवीत्,:रुषा,अब्रवीत्,
भयमुत्पादितम्,:भयम्,उत्पादितम्,
एवैषा,:एव,एषा,
कृतवांस्त्वं,:कृतवान्,त्वं,
सोऽवदत्,:सः,अवदत्,
कर्तव्यमस्ति,:कर्तव्यम्,अस्ति,
ततस्तस्मै,:ततः,तस्मै,
अवाचश्च,:अवाचः,च,
निरीहाश्च,:निरीहाः,च,
