नृपतेरभिमतम्,:नृपतेः,अभिमतम्,
कस्यामपि,:कस्याम्,अपि,
विश्वासमुत्पाद्य,:विश्वासम्,उत्पाद्य,
नृपेणाभाषि,:नृपेण,अभाषि,
कार्यमपि,:कार्यम्,अपि,
शक्तोऽस्मि,:शक्तः,अस्मि,
पादत्राणमपि,:पादत्राणम्,अपि,
भूपतिरवादीत्,:भूपतिः,अवादीत्,
अहमिदम्,:अहम्,इदम्,
भवतोऽभिग्रहं,:भवतः,अभिग्रहं,
एतदर्थेऽहं,:एतदर्थे,अहं,
दीयमानमिच्छामि,:दीयमानम्,इच्छामि,
सर्वथाऽनभिज्ञः,:सर्वथा,अनभिज्ञः,
निजश्वशुरमुवाच,:निजश्वशुरम्,उवाच,
प्रथाश्च,:प्रथाः,च,
अहन्तु,:अहं,तु,
गृहमुपेत्य,:गृहम्,उपेत्य,
विधानमवगत्य,:विधानम्,अवगत्य,
नाहम्,:न,अहम्,
पुनस्तमवदत्,:पुनः,तम्,अवदत्,
अहमिच्छामि,:अहम्,इच्छामि,
यदेषा,:यत्,एषा,
आनीतवानस्मि,:आनीतवान्,अस्मि,
योरोपमहाद्वीपेऽपि,:योरोपमहाद्वीपे,अपि,
वरस्योपरि,:वरस्य,उपरि,
चर्चाऽपि,:चर्चा,अपि,
नायकोऽवदत्,:नायकः,अवदत्,
पादत्राणमेव,:पादत्राणम्,एव,
किमेषा,:किम्,एषा,
प्रथैषा,:प्रथा,एषा,
नायकोऽवदत्,:नायकः,अवदत्,
भवदानीतं,:भवत्,आनीतं,
यियासुरासीत्,:यियासुः,आसीत्,
तदैव,:तदा,एव,
शनैरुवाच,:शनैः,उवाच,
सर्वमिदं,:सर्वम्,इदं,
नृपोऽहसत्,:नृपः,अहसत्,
भीतेव,:भीता,इव,
याचमानाऽवदत्,:याचमाना,अवदत्,
उक्तवांश्च,:उक्तवान्,च,
यथार्थमस्ति,:यथार्थम्,अस्ति,
कस्यामपि,:कस्याम्,अपि,
यच्छून्यते,:यत्,शून्यते,
