सप्ताहेऽतीते,:सप्ताहे,अतीते,
नावलोकितम्,:न,अवलोकितम्,
कुत्रास्ति,:कुत्र,अस्ति,
नृपतिरभाषत,:नृपतिः,अभाषत,
इदमेव,:इदम्,एव,
आत्मविश्वासेनावदत्,:आत्मविश्वासेन,अवदत्,
एतन्मदीयं,:एतत्,मदीयं,
स्वयमेव,:स्वयम्,एव,
कोऽहम्,:कः,अहम्,
सभासदस्तु,:सभासदः,तु,
त्वरितमेव,:त्वरितम्,एव,
भ्रान्तिरपगता,:भ्रान्तिः,उपगता,
वक्तुमारभत,:वक्तुम्,आरभत,
तस्यैव,:तस्य,एव,
छायाऽस्मि,:छाया,अस्मि,
ब्रुवन्तीमालक्ष्य,:ब्रुवन्तीम्,आलक्ष्य,
पुनरवदत्,:पुनः,अवदत्,
कोऽस्ति,:कः,अस्ति,
खड्गमाकृष्य,:खड्गम्,आकृष्य,
अधुनैव,:अधुना,एव,
प्रतिमाऽवदत्,:प्रतिमा,अवदत्,
प्रतिमाऽभ्यन्तरात्,:प्रतिमा,अभ्यन्तरात्,
भूत्वाऽवदत्,:भूत्वा,अवदत्,
नैतत्,:न,एतत्,
नेदम्,:न,इदम्,
नयनोन्मीलकं,:नयन,उन्मीलकं,
चित्रमेव,:चित्रम्,एव,
इदमेव,:इदम्,एव,
कर्तव्यमबोधयत्,:कर्तव्यम्,अबोधयत्,
निर्णयमाकर्ण्य,:निर्णयम्,आकर्ण्य,
परस्परमवलोकयन्तोऽतिष्ठन्,:परस्परं,अवलोकयन्तः,अतिष्ठन्,
कट्वपि,:कटु,अपि,
