इदमुपायनं,:इदम्,उपायनं,
सप्ताहेनैकेन,:सप्ताहेन,एकेन,
अक्रीत्वैव,:अक्रीत्वा,एव,
सप्ताहोऽतिक्रान्तः,:सप्ताहः,अतिक्रान्तः,
गतेऽवधौ,:गते,अवधौ,
भूपतिस्तान्,:भूपतिः,तान्,
मत्प्रदत्ताभिः,:मत्,प्रदत्ताभिः,
प्रश्नमाकर्ण्य,:प्रश्नम्,आकर्ण्य,
पुरोहितोऽवदत्,:पुरोहितः,अवदत्,
अशक्यमासीत्,:अशक्यम्,आसीत्,
सतीष्वपि,:सतीषु,अपि,
क्रीतमस्माभिः,:क्रीतम,अस्माभिः,
तदेवोक्तम्,:तदेव,उक्तम्,
सविनयमूचे,:सविनयम्,ऊचे,
वस्तुसम्भारश्च,:वस्तुसम्भारः,च,
भूपोऽभण्त्,:भूपः,अभणत्,
अयमाशयः,:अयम्,आशयः,
ममादेशोऽवहेलितः,:मम,आदेशः,अवहेलितः,
भवदाज्ञायाः,:भवत्,आज्ञायाः,
प्रणमंश्च,:प्रणमन्,च,
एतदाकर्ण्य,:एतत्,आकर्ण्य,
सत्कृतोऽभवत्,:सत्कृतः,अभवत्,
वैभवैरतुलैः,:वैभवैः,अतुलैः,
भवेऽस्मिन्,:भवे,अस्मिन्,
