शैत्यचर्चाऽभवत्,:शैत्यचर्चा,अभवत्,
प्रकटयन्नुवाच,:प्रकटयन्,उवाच,
सभासदोऽपि,:सभासदः,अपि,
स्वीकृतिमपि,:स्वीकृतिम्,अपि,
पुरोहितेनोक्तं,:पुरोहितेन,उक्तं,
सम्पत्स्यमानेऽस्मिन्,:सम्पत्स्यमाने,अस्मिन्,
देवीश्च,:देवीः,च,
शीतलेऽम्बुनि,:शीतले,अम्बुनि,
तपश्चरणे,:तपः,चरणे,
कृष्णदेवरायोऽपि,:कृष्णदेवरायः,अपि,
द्रष्टुमनास्तत्र,:द्रष्टुमनाः,तत्र,
तेलानीरामोऽपि,:तेलानीरामः,अपि,
तपश्चर्यां,:तपः,चर्यां,
तेनालीरामोऽवदत्,:तेनालीराम,अवदत्,
तपस्यैषा,:तपस्या,एषा,
नृपोऽवदत्,:नृपः,अवदत्,
यद्येवम्,:यदि,एवम्,
यदाऽसौ,:यदा,असौ,
तेनालीरामश्च,:तेनालीरामः,च,
नागतवान्,:न,आगतवान्,
तदैव,:तदा,एव,
कष्टमनुभवति,:कष्टम्,अनुभवति,
साहाय्यमाचरामि,:साहाय्यम्,आचरामि,
बहिराचकर्ष,:बहिः,आचकर्ष,
बहिरागतं,:बहिः,आगतं,
नृपतिरवोचत्,:नृपतिः,अवोचत्,
विहस्यावदत्,:विहस्य,अवदत्,
एतन्निशम्य,:एतत्,निशम्य,
भूपतिरुच्चैः,:भूपतिः,उच्चैः,
