वचनमनुरुध्य,:वचनम्,अनुरुध्य,
सोऽनेकशः,:सः,अनेकशः,
नासादितवान्,:न,असादितवान्,
कमप्युपायम्,:कमपि,उपायम्,
तत्रानेके,:तत्र,अनेके,
यतयश्च,:यतयः,च,
क्रोशानतिक्रान्तः,:क्रोशान्,अतिक्रान्तः,
महूर्तेनैव,:महूर्तेन,एव,
आनेतुमादिशत्,:आनेतुम्,आदिशत्,
नोपालभ्यत,:न,उपालभ्यत,
कस्तावत्,:कः,तावत्,
कुटीरमुपेत्य,:कुटीरम्,उपेत्य,
तदैव,:तदा,एव,
तत्राजगाम,:तत्र,आजगाम,
जलमाददतः,:जलम्,आददतः,
विप्रमवदत्,:विप्रम्,अवदत्,
कुटीरमागत्य,:कुटीरम्,आगत्य,
किमेतेन,:किम्,एतेन,
सम्राजमवदत्,:सम्राजम्,अवदत्,
नाहं,:न,अहं,
दक्षिणेति,:दक्षिणा,इति,
तामहम्,:ताम्,अहम्,
सोऽवदत्,:सः,अवदत्,
ब्राह्मणोऽयम्,:ब्राह्मणः,अयम्,
दक्षिणाऽपि,:दक्षिणा,अपि,
