मोहमुपगतानां,:मोहम्,उपगतानां,
धनान्यहरत्,:धनानि,आहरत्,
तस्यैतत्,:तस्य,एतत्,
दुःखमन्वभवत्,:दुःखम्,अन्वभवत्,
दण्डमर्हति,:दण्डम्,अर्हति,
कश्चिज्जनः,:कश्चित्,जनः,
अकस्मादेव,:अकस्मात्,एव,
तमुपगम्य,:तम्,उपगम्य,
तत्रानयत्,:तत्र,अनयत्,
प्रहारमकारयत्,:प्रहारम्,अकारयत्,
शङ्घट्टमकरोत्,:शङ्घट्टम्,अकरोत्,
गजमानेतुं,:गजम्,आनेतुं,
चापि,:च,अपि,
तदैव,:तदा,एव,
कथमसि,:कथम्,असि,
सोऽवदत्,:सः,अवदत्,
त्वमिव,:त्वम्,इव,
सहमानोऽहं,:सहमानः,अहं,
बहुदुःखान्यन्वभवम्,:बहुदुःखानि,अन्वभवम्,
भार्याऽपि,:भार्या,अपि,
तदैकेन,:तदा,एकेन,
महात्मनाऽहमुपदिष्टः,:महात्मना,अहम्,उपदिष्टः,
यदस्मिन्,:यत्,अस्मिन्,
धृतमौनश्च,:धृतमौनः,च,
श्रुत्वैव,:श्रुत्वा,एव,
मृदोऽपसारणे,:मृदः,अपसारणे,
बहिरागच्छत्,:बहिः,आगच्छत्,
रजकोऽपश्यत्,:रजकः,अपश्यत्,
कुब्जत्वविहीनमास्ते,:कुब्जत्वविहीनम्,आस्ते,
परेषामुक्तिमाकर्ण्य,:परेषामुक्तिम्,आकर्ण्य,
रजकोऽवदत्,:रजकः,अवदत्,
रुजाऽतिक्लेशमनुभवामि,:रुजा,अतिक्लेशम्,अनुभवामि,
रोगान्मुक्तमिच्छामि,:रोगात्,मुक्तम्,इच्छामि,
रजकानामावासे,:रजकानाम्,आवासे,
प्रातरानेतु,:प्रातः,आनेतु,
निर्देष्टव्यमपि,:निर्देष्टव्यम्,अपि,
नाहं,:न,अहं,
त्वत्कृताम्,:त्वत्,कृताम्,
एतन्न,:एतत्,न,
कर्तुमिच्छामि,:कर्तुम्,इच्छामि,
धूर्तैश्च,:धूर्तैः,च,
तेनालीरामस्तं,:तेनालीरामः,तं,
गन्तुमुपाक्रमत,:गन्तुम्,उपाक्रमत,
रुजोऽभिवृद्धिरपि,:रुजः,अभिवृद्धिः,अपि,
रजकस्तस्मै,:रजकः,तस्मै,
तत्रोपेत्य,:तत्र,उपेत्य,
कस्त्वं,:कः,त्वं,
कस्त्वामत्र,:कः,त्वं,अत्र,
नावदत्,:न,अवदत्,
हस्तिनमादातुम्,:हस्तिनम्,आदातुम्,
साहाय्यमाचरन्,:साहाय्यम्,आचरन्,
निवेशितोऽस्मि,:निवेशितः,अस्मि,
वृत्तमश्रावयत्,:वृत्तम्,आश्रावयत्,
किमेवं,:किम्,एवं,
करणेनापि,:करणेन,अपि,
कुब्जताऽपयाति,:कुब्जता,अपयाति,
दण्डनीयोऽसि,:दण्डनीयः,असि,
स्थितिमालक्ष्य,:स्थितिम्,आलक्ष्य,
धैर्यमाश्रित्य,:धैर्यम्,आश्रित्य,
अहमिदं,:अहम्,इदं,
नाहम्,:न,अहम्,
एतन्निशम्य,:एतत्,निशम्य,
वृत्तमश्रावयत्,:वृत्तम्,अश्रावयत्,
चासीत्,:च,आसीत्,
शोकमन्वभवत्,:शोकम्,अन्वभवत्,
तदैव,:तदा,एव,
महाराजोऽतीव,:महाराजः,अतीव,
मोदमवाप,:मोदम्,अवाप,
जीवतीति,:जीवती,इति,
वेषमपसार्य,:वेषम्,अपसार्य,
उपस्थितोऽस्ति,:उपस्थितः,अस्ति,
दशाऽभवत्,:दशा,अभवत्,
समागतोऽस्ति,:समागतः,अस्ति,
