कर्तुमैच्छत्,:कर्तुम्,ऐच्छत्,
ज्ञातुमुत्सुकः,:ज्ञातुम्,उत्सुकः,
तेनोक्तं,:तेन,उक्तं,
ग्रस्तोऽस्मि,:ग्रस्तः,अस्मि,
चिन्तितोऽस्मि,:चिन्तितः,अस्मि,
राज्ञाऽभाणि,:राज्ञा,अभाणि,
परलोकमुपैषि,:परलोकम्,उपैषि,
तदाऽहं,:तदा,अहं,
तेनालीरामोऽवादीत्,:तेनालीरामः,अवादीत्,
राज्ञोक्तम्,:राज्ञा,उक्तम्,
मिथ्योक्तिरेषा,:मिथ्या,उक्तिः,एषा,
इदमपि,:इदम्‌,अपि,
आक्रान्तोऽस्मि,:आक्रान्तः,अस्मि,
ततस्तेन,:ततः,तेन,
चावदत्,:च,अवदत्,
नेतुमिच्छन्ति,:नेतुम्,इच्छन्ति,
महीपतिनाऽपि,:महीपतिना,अपि,
अतस्तेनादिष्टम्,:अतः,तेन,आदिष्टम्,
मञ्जूषामानयन्,:मञ्जूषाम्,आनयन्,
आवरणेऽनावृते,:आवरणे,अनावृते,
बहिरागत्य,:बहिः,आगत्य,
सत्यमभिहितम्,:सत्यम्‌,अभिहितम्,
नृपेणोक्तं,:नृपेण,उक्तं,
जीवतोऽसि,:जीवतः,असि,
गन्तुमर्हामि,:गन्तुम्,अर्हामि,
बन्धुजनेष्वनुरक्तिः,:बन्धुजनेषु,अनुरक्तिः,
यावज्जीवति,:यावत्,जीवति,
निधनमुपगते,:निधनम्,उपगते,
