सर्वेऽधिकारिणः,:सर्वे,अधिकारिणः,
प्रावृड्ऋतुरासीत्,:प्रावृड्ऋतुः,आसीत्,
भृशमरोचत,:भृशम्,अरोचत,
सोऽवदत्,:सः,अवदत्,
ममाभिलाषोऽस्ति,:मम,अभिलाषः,अस्ति,
यदस्मिन्,:यत्,अस्मिन्,
वर्षेऽपि,:वर्षे,अपि,
एतन्निशम्य,:एतत्,निशम्य,
ततोऽमात्यः,:ततः,अमात्यः,
यदस्मिन्,:यत्,अस्मिन्,
श्रेष्ठश्च,:श्रेष्ठः,च,
विरचिताऽभवत्,:विरचिता,अभवत्,
महाराजोऽपृच्छत्,:महाराजः,अपृच्छत्,
तेष्वेकतमस्य,:तेषु,एकतमस्य,
भवितुमर्हति,:भवितुम्,अर्हति,
असङ्गतमिव,:असङ्गतम्,इव,
समारोहेऽस्मिन्,:समारोहे,अस्मिन्,
वचनमाकर्ण्य,:वचनम्,आकर्ण्य,
महराजस्तं,:महराजः,तं,
वक्तुमीहसे,:वक्तुम्,ईहसे,
कलामेवोपास्ते,:कलाम्,एव,उपास्ते,
इत्यभिधाय,:इति,अभिधाय,
हयमारुह्य,:हयम्,आरुह्य,
तेनालीरामश्च,:तेनालीरामः,च,
व्रजन्तस्ते,:व्रजन्तः,ते,
निचयमवलोकितवान्,:निचयम्,अवलोकितवान्,
तमुपगम्य,:तम्,उपगम्य,
महाराजोऽपृच्छत्,:महाराजः,अपृच्छत्,
कस्यैषा,:कस्य,एषा,
मूर्तिर्विरच्यते,:मूर्तिः,विरच्यते,
मूर्तिरस्ति,:मूर्तिः,अस्ति,
नायं,:न,अयं,
इहागत्य,:इह,आगत्य,
एतदेवालम्,:एतत्,एव,अलम्,
मौनमापद्यत,:मौनम्,आपद्यत,
यदस्मिन्,:यत्,अस्मिन्,
तन्निर्मितां,:तत्,निर्मितां,
नवीनोद्भावनायाश्च,:नवीनोद्भावनायाः,च,
एवमगायन्,:एवम्,अगायन्,
जीवनमिह,:जीवनम्,इह,
धरापिपासामपनयते,:धरापिपासाम्,अपनयते,
प्रकृतिर्नवभूषां,:प्रकृतिः,नवभूषां,
