सविनोदमुवाच,:सविनोदम्,उवाच,
मानवप्रकृतेरपि,:मानवप्रकृतेः,अपि,
दुःशकमेव,:दुःशकम्,एव,
तेष्वेकतमः,:तेषु,एकतमः,
वक्रमपि,:वक्रम्,अपि,
नृपेणोक्तं,:नृपेण,उक्तं,
सरलीकरणप्रयासमारभन्ताम्,:सरलीकरणप्रयासम्,आरभन्ताम्,
तेनालीरामोऽप्यासीत्,:तेनालीरामः,अपि,आसीत्,
गृहमानीय,:गृहम्,आनीय,
वक्रताऽपगच्छेत्,:वक्रता,अपगच्छेत्,
औषधदानमारब्धम्,:औषधदानम्,आरब्धम्,
शल्यक्रियाऽकारि,:शल्यक्रिया,अकारि,
चाधातुं,:च,आधातुं,
तावन्मात्रम्,:तावत्,मात्रम्,
इवाभवत्,:इव,अभवत्,
चलनेऽपि,:चलने,अपि,
सरलमिव,:सरलम्,इव,
नियतेऽवधौ,:नियते,अवधौ,
सर्वेऽपि,:सर्वे,अपि,
उपस्थातुमादिष्टाः,:उपस्थातुम्,आदिष्टाः,
भारेऽपनीते,:भारे,अपनीते,
पुच्छमपि,:पुच्छम्,अपि,
नलिकाऽपगतं,:नलिका,अपगतं,
नृपतेरादेशेन,:नृपतेः,आदेशेन,
तेनापि,:तेन,अपि,
राज्ञोक्तं,:राज्ञा,उक्तं,
पृच्छचालनेऽपि,:पृच्छचालने,अपि,
तेनालीरामोऽभाषत-,:तेनालीरामः,अभाषत-,
वक्रतामपनेतुमेव,:वक्रताम्,अपनेतुम्,एव,
अनाहारेणैव,:अनाहारेण,एव,
वक्रताऽपसारयितुं,:वक्रता,अपसारयितुं,
प्रकृतिरपि,:प्रकृतिः,अपि,
निश्चेतनेव,:निश्चेतना,इव,
बहुरूपाकारविचित्रेऽस्मिन्,:बहुरूपाकारविचित्रे,अस्मिन्,
विहितेऽपि,:विहिते,अपि,
उपरतोऽभूत्,:उपरतः,अभूत्,
तस्मिन्नेव,:तस्मिन्,एव,
पीडितोऽभवत्,:पीडितः,अभवत्,
नानुष्ठास्यति,:न,अनुष्ठास्यति,
तावदस्मात्,:तावत्,अस्मात्,
ब्राह्मणेनोक्तम्,:ब्राह्मणेन,उक्तम्,
ततस्तेनालीरामोऽभाषत,:ततः,तेनालीरामः,अभाषत,
यदहम्,:यत्,अहम्,
विप्रमादाय,:विप्रम्,आदाय,
यदहं,:यत्,अहम्,
विक्रेतुमिच्छामि,:विक्रेतुम्,इच्छामि,
क्रेतुमच्छुकः,:क्रेतुम्,इच्छुकः,
श्रुत्वैकेन,:श्रुत्वा,एकेन,
इदमेव,:इदम्,एव,
मूल्यमासीत्,:मूल्यम्,आसीत्,
पटुताऽधिगता,:पटुता,अधिगता,
अतिशेतेऽसौ,:अतिशेते,असौ,
