नाभूत्,:न,अभूत्,
ततस्तेन,:ततः,तेन,
येनापि,:येन,अपि,
विस्मितोऽभवत्,:विस्मितः,अभवत्,
अन्वेष्टुमेव,:अन्वेष्टुम्,एव,
ग्रामप्रधानमवदत्,:ग्रामप्रधानम्,अवदत्,
मामस्मिन्,:माम्,अस्मिन्,
अतोऽहम्,:अतः,अहम्,
जनाश्च,:जनाः,च,
तेष्वेकः,:तेषु,एकः,
तत्रोपेत्य,:तत्र,उपेत्य,
महीपतिनाऽवबुद्धं,:महीपतिना,अवबुद्धं,
एषाऽभिरामा,:एषा,अभिरामा,
युक्तिरस्ति,:युक्तिः,अस्ति,
ततोऽसौ,:ततः,असौ,
केनैषा,:केन,एषा,
युक्तिमिमाम्,:युक्तिम्,इमाम्,
सोऽपि,:सः,अपि,
समुपस्थितोऽस्ति,:समुपस्थितः,अस्ति,
सामान्येऽपि,:सामान्ये,अपि,
लीलयैव,:लीलया,एव,
