कष्टमनुभूतम्,:कष्टम्,अनुभूतम्,
राजधानीमुपेत्य,:राजधानीम्,उपेत्य,
नितान्तमलसः,:नितान्तम्,अलसः,
सोऽनेकवारं,:सः,अनेकवारं,
नियोजितोऽभवत्,:नियोजितः,अभवत्,
मौनमधारयत्,:मौनम्,अधारयत्,
मन्त्रिणमपृच्छत्,:मन्त्रिणम्,अपृच्छत्,
कथितवांश्च,:कथितवान्,च,
तमुवाच,:तम्,उवाच,
निष्ठावांश्चास्ति,:निष्ठावान्,च,अस्ति,
मन्त्रिणमुवाच,:मन्त्रिणम्,उवाच,
कस्तस्य,:कः,तस्य,
महाराजस्तस्मिन्,:महाराजः,तस्मिन्,
शृण्वन्नपि,:शृण्वन्,अपि,
चास्ते,:च,आस्ते,
कथमिदं,:कथम्,इदं,
दिनद्वयेऽतीते,:दिनद्वये,अतीते,
राजानमुपेत्य,:राजानम्,उपेत्य,
मुषितोऽस्मि,:मुषितः,अस्मि,
न्यायमिच्छामि,:न्यायम्,इच्छामि,
कृषकोऽवदत्,:कृषकः,अवदत्,
क्षेत्रमस्ति,:क्षेत्रम्,अस्ति,
सैव,:सा,एव,
सोचनसाधनमपि,:सोचनसाधनम्,अपि,
प्रार्थनामवधीरयन्तः,:प्रार्थनाम्,अवधीरयन्तः,
परमहं,:परम्,अहं,
जीवन्नेव,:जीवन्,एव,
मृतोऽस्मि,:मृतः,अस्मि,
क्रन्दितुमारभत,:क्रन्दितुम्,आरभत,
महाराजस्तं,:महाराजः,तं,
कृषकोऽवदत्,:कृषकः,अवदत्,
तदेवाभवत्,:तदेव,अभवत्,
यन्मयाऽऽशङ्‌कितमासीत्,:यन्मया,आशङ्‌कितम्,आसीत्,
पुरोहितोऽवदत्,:पुरोहितः,अवदत्,
दण्डमर्हति,:दण्डम्,अर्हति,
तेनालीरामोऽवदत्,:तेनालीरामः,अवदत्,
दण्डमर्हति,:दण्डम्,अर्हति,
कूपोऽस्ति,:कूपः,अस्ति,
तेनालीरामोऽवदत्,:तेनालीरामः,अवदत्,
निर्माणमकारयत्,:निर्माणम्,अकारयत्,
उल्लिखितमस्ति,:उल्लिखितम्,अस्ति,
अन्येऽपि........।,:अन्ये,अपि........।,
आशयोऽवगतः,:आशयः,अवगतः,
तेषामवेक्षणं,:तेषाम्,अवेक्षणं,
भूपतिरिदम्,:भूपतिः,इदम्,
निष्कासितमभवत्,:निष्कासितम्,अभवत्,
सोऽत्यर्थं,:सः,अत्यर्थं,
कूपानामवशिष्टं,:कूपानाम्,अवशिष्टं,
प्रभुर्न,:प्रभुः,न,
तमर्थैरपि,:तमर्थैः,अपि,
