तेनोक्तं,:तेन,उक्तं,
नूनमहं,:नूनम्,अहं,
किन्त्वस्माकं,:किन्तु,अस्माकं,
प्रश्नस्यास्य,:प्रश्नस्य,अस्य,
नाभूत्,:न,अभूत्,
पुनरब्रवीत्,:पुनः,अब्रवीत्,
तेनालीरामोऽवदत्,:तेनालीरामः,अवदत्,
मयोक्तसंख्यायाः,:मया,उक्तसंख्यायाः,
कारयितुमर्हति,:कारयितुम्,अर्हति,
राज्ञोक्तम्,:राज्ञा,उक्तम्,
पुनरपृच्छत्,:पुनः,अपृच्छत्,
संख्याऽधिका,:संख्या,अधिका,
तेनालीरामोऽभ्यधात्,:तेनालीरामः,अभ्यधात्,
निरुत्तरोऽभवत्,:निरुत्तरः,अभवत्,
ततोऽसौ,:ततः,असौ,
दृक्पातमकरोत्,:दृक्पातम्,अकरोत्,
इदमुत्तमं,:इदम्,उत्तमं,
नासादितम्,:न,आसादितम्,
विवक्षतीव,:विवक्षति,इव,
कोऽस्त्येतेन,:कः,अस्ति,एतेन,
तस्यैव,:तस्य,एव,
समादरश्च,:समादरः,च,
अनर्गलस्यापि,:अनर्गलस्य,अपि,
ह्युत्तरदानदक्षः,:हि,उत्तरदानदक्षः,
