कश्चिन्नरः,:कश्चित्,नरः,
समागतोऽस्मि,:समागतः,अस्मि,
भूपालस्तं,:भूपालः,तं,
वृत्तमाख्यातुम्,:वृत्तम्,आख्यातुम्,
आतपच्छत्रोऽहं,:आतपच्छत्रः,अहं,
शिवमन्दिरस्यान्तिके,:शिवमन्दिरस्य,अन्तिके,
रक्तवर्णपुटकेऽपतत्,:रक्तवर्णपुटके,अपतत्,
स्वामिनोऽनुमत्या,:स्वामिनः,अनुमत्या,
त्वमिदं,:त्वम्,इदं,
तदाऽहम्,:तदा,अहम्,
सहमानोऽहं,:सहमानः,अहं,
वचोऽङ्गीकृतम्,:वचः,अङ्गीकृतम्,
परमधुना,:परम्,अधुना,
अतोऽहं,:अतः,अहं,
तद्वचनमाकर्ण्य,:तद्वचनम्,आकर्ण्य,
पृष्टश्च,:पृष्टः,च,
सोऽवदत्,:सः,अवदत्,
मयाऽस्मै,:मया,अस्मै,
दर्शयितुमुक्तः,:दर्शयितुम्,उक्तः,
तदाऽयं,:तदा,अयं,
मामेकं,:माम्,एकं,
त्वयाऽस्मै,:त्वया,अस्मै,
यदस्माकं,:यत्,अस्माकं,
आकृत्याऽसौ,:आकृत्या,असौ,
अवस्थातुमादिश्य,:अवस्थातुम्,आदिश्य,
कृतापराधोऽस्ति,:कृतापराधः,अस्ति,
दण्डमर्हति,:दण्डम्,अर्हति,
तेनालीरामोऽपि,:तेनालीरामः,अपि,
तत्रासीत्,:तत्र,आसीत्,
तमपि,:तम्,अपि,
तेनोक्तं,:तेन,उक्तं,
तदाहं,:तदा,अहं,
यवनिकाऽन्तर्हितोऽभवत्,:यवनिका,अन्तर्हितः,अभवत्,
अनिच्छन्तोऽपि,:अनिच्छन्तः,अपि,
पृष्टश्च,:पृष्टः,च,
तेनोक्तम्,:तेन,उक्तम्,
पुनरपृच्छत्,:पुनः,अपृच्छत्,
कथमहं,:कथम्,अहं,
तत्रोपस्थितानां,:तत्र,उपस्थितानां,
तदैव,:तदा,एव,
त्रयोऽवदन्,:त्रयः,अवदन्,
वयमपि,:वयम्,अपि,
हननमसत्यं,:हननम्,असत्यं,
स्पष्टमासीत्,:स्पष्टम्,आसीत्,
सोऽर्थदण्डरूपेण,:सः,अर्थदण्डरूपेण,
महिमाऽधिकमुपाचीयत,:महिमा,अधिकम्,उपाचीयत,
