तत्रैकं,:तत्र,एकं,
क्रेतुमिच्छति,:क्रेतुम्,इच्छति,
चन्दनव्यवसायिनमुपेत्य,:चन्दनव्यवसायिनम्,उपेत्य,
क्रेतुमैच्छत्,:क्रेतुम्,ऐच्छत्,
उभयोर्मध्ये,:उभयोः,मध्ये,
सोऽजानात्,:सः,अजानात्,
क्रेतुमर्हति,:क्रेतुम्,अर्हति,
नान्ये,:न,अन्ये,
हयास्त्वया,:हयाः,त्वया,
चोक्तं,:च,उक्तं,
मयैते,:मया,एते,
सोऽचिन्तयत्,:सः,अचिन्तयत्,
यदस्मिन्,:यत्,अस्मिन्,
पृष्टवांश्च,:पृष्टवान्,च,
तेनोक्तम्,:तेन,उक्तम्,
नागतः,:न,आगतः,
सर्वमिदं,:सर्वम्,इदं,
कस्यापि,:कस्य,अपि,
वार्तेयं,:वार्ता,इयं,
भियाऽयम्,:भिया,अयम्,
दातुमत्र,:दातुम्,अत्र,
धुर्तोऽयं,:धुर्तः,अयं,
दण्डमर्हति,:दण्डम्,अर्हति,
वचनमाकर्ण्य,:वचनम्,आकर्ण्य,
घोटकाश्च,:घोटकाः,च,
उपायान्तरमपश्यन्ती,:उपायान्तरम्,अपश्यन्ती,
तेनालीराममुपगता,:तेनालीरामम्,उपगता,
स्मृतिराविर्भूता,:स्मृतिः,आविर्भूता,
एकोपायः,:एकः,उपायः,
कालेनापि,:कालेन,अपि,
निगृहीतोऽभवत्,:निगृहीतः,अभवत्,
यदाऽसौ,:यदा,असौ,
कोपाविष्टोऽभवत्,:कोपाविष्टः,अभवत्,
वणिक्समाजेऽसौ,:वणिक्समाजे,असौ,
समाहूताऽभवत्,:समाहूता,अभवत्,
आरोपपत्रवाचनमभूत्,:आरोपपत्रवाचनम्,अभूत्,
गृहीतमासीत्,:गृहीतम्,आसीत्,
असत्यभाषकोऽमात्यः,:असत्यभाषकः,अमात्यः,
एतेऽश्वाः,:एते,अश्वाः,
तेनोक्तं,:तेन,उक्तं,
इदमस्ति,:इदम्,अस्ति,
लज्जामन्वभवत्,:लज्जाम्,अन्वभवत्,
ततस्तेन,:ततः,तेन,
तत्क्षणमेव,:तत्क्षणम्,एव,
स्मितेनाराजत,:स्मितेन,आराजत,
भ्रष्टाचरणोऽधिकारी,:भ्रष्टाचरणः,अधिकारी,
सुवृत्ताश्च,:सुवृत्ताः,च,
विपदाऽभिभवं,:विपदा,अभिभवं,
दुःखैस्तप्तान्,:दुःखैः,तप्तान्,
