किमिदं,:किम्,इदं,
एतयोरपि,:एतयोः,अपि,
परस्परमुखान्यवैक्षन्त,:परस्परमुखानि,अवैक्षन्त,
मौनमास्थितेषु,:मौनम्,आस्थितेषु,
भूपस्तेनालीराममपश्यत्,:भूपः,तेनालीरामम्,अपश्यत्,
तस्याशयं,:तस्य,आशयं,
स्वासनादुत्थाय,:स्वासनात्,उत्थाय,
तेनालीरामोऽब्रवीत्,:तेनालीरामः,अब्रवीत्,
विदुषोऽस्मद्राजसभायां,:विदुषः,अस्मत्,राजसभायां,
एतद्दर्शनैः,:एतत्,दर्शनैः,
विदुषोऽस्य,:विदुषः,अस्य,
विदुषोऽस्य,:विदुषः,अस्य,
तदाऽहं,:तदा,अहं,
राज्ञोक्तं,:राज्ञा,उक्तं,
अतिथिगृहेऽवस्थानं,:अतिथिगृहे,अवस्थानं,
वाटिकाऽऽसीत्,:वाटिका,आसीत्,
सङ्गमवाप्य,:सङ्गम्,अवाप्य,
सन्तुष्टश्च,:सन्तुष्टः,च,
विद्वानपि,:विद्वान्,अपि,
पुनस्तत्र,:पुनः,तत्र,
पुनस्तं,:पुनः,तं,
चत्वरमधिष्ठाय,:चत्वरम्,अधिष्ठाय,
प्रहारमकरोत्,:प्रहारम्,अकरोत्,
तेनाघातेन,:तेन,आघातेन,
व्याकुलोऽभूत्,:व्याकुलः,अभूत्,
तमिलभाषयाऽस्मरत्,:तमिलभाषया,अस्मरत्,
इत्यपृच्छत्,:इति,अपृच्छत्,
तत्क्षणमेव,:तत्क्षणम्,एव,
तत्कालमेव,:तत्कालम्,एव,
वैद्यमादाय,:वैद्यम्,आदाय,
स्वासनादुत्थाय,:स्वासनात्,उत्थाय,
चोच्चारयति,:च,उच्चारयति,
त्वथैव,:तु,अथ,एव,
सापराधोऽस्मि,:सापराधः,अस्मि,
धन्योऽसि,:धन्यः,असि,
प्रत्युत्पन्नमतेस्तव,:प्रत्युत्पन्नमतेः,तव,
एतत्सर्वं,:एतत्,सर्वं,
पारिषद्याश्च,:पारिषद्याः,च,
आपतितेऽनाशंसितदुःखे,:आपतिते,अनाशंसितदुःखे,
