लिखितमासीत्,:लिखितम्,आसीत्,
अहमिमं,:अहम्,इमं,
योऽस्य,:यः,अस्य,
अहमिच्छामि,:अहम्,इच्छामि,
रुचिमानासीत्,:रुचिम्,अनासीत्,
तेनेदृशः,:तेन,ईदृशः,
रत्नमिदम्,:रत्नम्,इदम्,
न्यूना,:न्यूनाः,एव,
सन्तुष्टो,:न,अभूत्,
राजसभामेत्य,:राजसभाम्,एत्य,
हीरकमपश्यन्,:हीरकम्,अपश्यन्,
परीक्षणमकुर्वन्,:परीक्षणम्,अकुर्वन्,
चिरमचर्चयन्,:चिरम्,अचर्चयन्,
नाशक्नुवन्,:न,अशक्नुवन्,
चिन्तामापेदे,:चिन्ताम्,आपेदे,
सर्वेऽक्षमतां,:सर्वे,अक्षमतां,
द्रष्टुमैच्छत्,:द्रष्टुम्,ऐच्छत्,
गिरोवाच,:गिरा,उवाच,
अहमस्य,:अहम्,अस्य,
दातुमादिशत्,:दातुम्,आदिशत्,
क्षणमालोकत,:क्षणम्,आलोकत,
राज्ञोक्तम्,:राज्ञा,उक्तम्,
किमिदं,:किम्,इदं,
कस्मात्त्वया,:कस्मात्,त्वया,
वराटिकामात्रमपि,:वराटिकामात्रम्,अपि,
एतदाकर्ण्य,:एतत्,आकर्ण्य,
चावदन्,:च,अवदन्,
कृताऽस्ति,:कृता,अस्ति,
भूपोऽभषत,:भूपः,अभषत,
सभासदश्च,:सभासदः,च,
काष्ठपलेऽस्थापयत्,:काष्ठपले,अस्थापयत्,
सर्वानपृच्छत्,:सर्वान्,अपृच्छत्,
कश्चिदपि,:कश्चित्,अपि,
नापश्यत्,:न,अपश्यत्,
तेनालीरामोऽवदत्,:तेनालीरामः,अवदत्,
हीरस्तु,:हीरः,तु,
किमयं,:किम्,अयं,
भवितुमर्हति,:भवितुम्,अर्हति,
पुनरुवाच,:पुनः,उवाच,
प्रकाशेऽत्यर्थं,:प्रकाशे,अत्यर्थं,
विलोकितुमेव,:विलोकितुम्,एव,
मयाऽयं,:मया,अयं,
त्वेष,:तु,एषः,
किमयं,:किम्,अयं,
नान्यत्,:न,अन्यत्,
राजसभामुपेत्य,:राजसभाम्,उपेत्य,
नवोद्भावनायाः,:नव,उद्भावनायाः,
काचखण्डोऽस्ति,:काचखण्डः,अस्ति,
कृतमस्ति,:कृतम्,अस्ति,
नेदं,:न,इदं,
