घ्रात्वाऽवगतं,:घ्रात्वा,अवगतं,
पृष्टास्तेऽवदन्,:पृष्टाः,ते,अवदन्,
वंशानुगतोऽस्माकं,:वंशानुगतः,अस्माकं,
मृदोऽपि,:मृदः,अपि,
शिक्षणेऽप्यसौ,:शिक्षणे,अपि,असौ,
प्रबन्धाश्च,:प्रबन्धाः,च,
इदमुद्यानं,:इदम्,उद्यानं,
राजभवनान्तर्गतमासीत्,:राजभवनान्तर्गतम्,आसीत्,
तस्मिन्नेव,:तस्मिन्,एव,
तत्राययौ,:तत्र,आययौ,
उत्क्रामन्तीव,:उत्क्रामन्ति,इव,
समागतोऽस्मि,:समागतः,अस्मि,
कक्षादेव,:कक्षात्,एव,
द्वारमुल्लंघ्य,:द्वारम्,उल्लंघ्य,
किमभवत्,:किम्,अभवत्,
लब्धमिदम्,:लब्धम्,इदम्,
कर्गदोऽयं,:कर्गदः,अयं,
पुष्पसारनिर्यासयन्त्रमपि,:पुष्पसारनिर्यासयन्त्रम्,अपि,
सपद्येव,:सपदि,एव,
ज्ञातमभवत्,:ज्ञातम्,अभवत्,
सर्वांस्तान्,:सर्वान्,तान्,
भूपोऽब्रवीत्,:भूपः,अब्रवीत्,
एतन्निशम्य,:एतत्,निशम्य,
