एतैश्चिन्तावशं,:एतैः,चिन्तावशं,
तत्रोपद्रवान्,:तत्र,उपद्रवान्,
कृत्यमिदम्,:कृत्यम्,इदम्,
कठोरताऽवलम्बनीया,:कठोरता,अवलम्बनीया,
नृपस्तदा,:नृपः,तदा,
सोऽवदत्,:सः,अवदत्,
विरोधेऽपि,:विरोधे,अपि,
मतमभिनन्दितम्,:मतम्,अभिनन्दितम्,
कार्यभारोऽपि,:कार्यभारः,अपि,
प्रगतिर्नाभूत्,:प्रगतिः,न,अभूत्,
एतद्विज्ञाय,:एतत्,विज्ञाय,
यावदहं,:यावत्,अहं,
नापसारयामि,:न,अपसारयामि,
प्रगतिर्न,:प्रगतिः,न,
तद्वचनेन,:तत्,वचनेन,
भूपोऽभाषत,:भूपः,अभाषत,
अप्यवदत्,:अपि,अवदत्,
मौनमभजत,:मौनम्,अभजत,
सन्त्येते,:सन्ति,एते,
शस्त्रास्त्राण्यपि,:शस्त्रास्त्राणि,अपि,
राजाऽपृच्छत्,:राजा,अपृच्छत्,
तेनालीरामोऽवदत्,:तेनालीरामः,अवदत्,
स्वीयेभ्यस्तु,:स्वीयेभ्यः,तु,
ततोऽधिकम्,:ततः,अधिकम्,
