कस्यचिज्जनस्य,:कस्यचित्,जनस्य,
यस्तस्य,:यः,तस्य,
मुखमवलोकते,:मुखम्,अवलोकते,
शनैरियं,:शनैः,इयं,
श्रुतिपथमागता,:श्रुतिपथम्,आगता,
तस्यैव,:तस्य,एव,
दृष्ट्वैव,:दृष्ट्वा,एव,
क्षुधानुभूतिर्नासीत्,:क्षुधानुभूतिः,नासीत्,
नूनमेष,:नूनम्,एष,
एतद्विचार्य,:एतत्,विचार्य,
तेनालीरामोऽमिलत्,:तेनालीरामः,अमिलत्,
वृत्तमश्रावयत्,:वृत्तम्,अश्रावयत्,
एवमवदत्,:एवम्,अवदत्,
त्वामन्तिमाम्,:त्वा‌म्,अन्तिमाम्,
यदहं,:यत्,अहं,
वक्तुमिच्छामि,:वक्तुम्,इच्छामि,
प्राणैर्वियुज्यते,:प्राणैः,वियुज्यते,
कस्तवान्तिमोऽभिलाषः,:कः,तव,अन्तिम,अभिलाषः,
तदेवोक्तं,:तदेव,उक्तं,
प्रबोधितमासीत्,:प्रबोधितम्,आसीत्,
विचित्रामिच्छाम्,:विचित्राम्,इच्छाम्,
तस्येच्छा,:तस्य,इच्छा,
महाननर्थः,:महान्,अनर्थः,
सुजनस्त्राता,:सुजनः,त्राता,
