श्वोऽहं,:श्वः,अहं,
नेच्छामि,:न,इच्छामि,
आदेशमुल्लङ्घयन्,:आदेशम्,उल्लङ्घयन्,
एतदाकर्ण्य,:एतत्,आकर्ण्य,
महाराजोऽवदत्,:महाराजः,अवदत्,
तस्येदृशं,:तस्य,ईदृशं,
ततोऽपरेण,:ततः,अपरेण,
सदस्येनोक्तं,:सदस्येन,उक्तं,
धृष्टोऽयम्,:धृष्टः,अयम्,
स्पष्टमुदीरितमासीत्,:स्पष्टम्,उदीरितम्,आसीत्,
आज्ञाऽतिक्रमणे,:आज्ञा,अतिक्रमणे,
स्वेच्छमाचरति,:स्वेच्छम्,आचरति,
मृद्घटेनावृत्य,:मृद्घटेन,आवृत्य,
कीदृशीयम्,:कीदृशी,इयम्,
मामादेशोऽवहेलितः,:मम,आदेशः,अवहेलितः,
घटेनाच्छादितम्,:घटेन,आच्छादितम्,
किमिदानीं,:किम्,इदानीं,
प्रहसन्नवादीत्,:प्रहसन्,अवादीत्,
सत्यमुच्यते,:सत्यम्,उच्यते,
स्वकीयासनमधितिष्ठ,:स्वकीयासनम्,अधितिष्ठ,
