वृद्धिमुपैति,:वृद्धिम्,उपैति,
बुधैर्धुरीणैः,:बुधैः,धुरीणैः,
भूपेऽथवा,:भूपे,अथवा,
सदस्योऽभाषत,:सदस्यः,अभाषत,
एतन्निशम्य,:एतत्,निशम्य,
यद्यसौ,:यदि,असौ,
नास्त्येव,:नास्ति,एव,
तच्छ्रुत्वा,:तत्,श्रुत्वा,
भूपोऽब्रवीत्,:भूपः,अब्रवीत्,
नृपतिरवादीत्,:नृपतिः,अवादीत्,
नेदं,:न,इदं,
मन्त्रिभिरपि,:मन्त्रिभिः,अपि,
नृपतिस्तन्मतं,:नृपतिः,तन्मतं,
अशान्तिमेव,:अशान्तिम्,एव,
कश्चिदवदत्,:कश्चित्,अवदत्,
नैतत्,:न,एतत्,
राजगुरुरवदत्,:राजगुरुः,अवदत्,
इदमन्तरेण,:इदम्,अन्तरेण,
सोऽवदत्,:सः,अवदत्,
दुर्जनश्च,:दुर्जनः,च,
क्रुधाऽवदत्,:क्रुधा,अवदत्,
इदमहं,:इदम्,अहं,
तेनालीरामोऽवदत्,:तेनालीरामः,अवदत्,
पक्षमसत्यं,:पक्षम्,असत्यं,
ब्राह्मणवंशजोऽपि,:ब्राह्मणवंशजः,अपि,
वादविवादेऽस्मिन्,:वादविवादे,अस्मिन्,
सभाभंगोऽकारि।,:सभाभंगः,अकारि।,
अस्मिन्नेव,:अस्मिन्,एव,
स्वर्णमुद्राश्च,:स्वर्णमुद्राः,च,
प्रमोदमभजन्,:प्रमोदम्,अभजन्,
तेऽवदन्,:ते,अवदन्,
वयमधुनैव,:वयम्,अधुना,एव,
दानमुहूर्तेऽतिक्रान्ते,:दानमुहूर्ते,अतिक्रान्ते,
अतोऽहमपरान्,:अतः,अहम्,अपरान्,
विधिरपि,:विधिः,अपि,
ब्राह्मणोऽवदत्,:ब्राह्मणः,अवदत्,
नाब्रवीत्।,:न,अब्रवीत्।,
स्वर्णमुद्राश्चावलोक्य,:स्वर्णमुद्राः,च,अवलोक्य,
इदमापत्तिकरं,:इदम्,आपत्तिकरं,
क्रृधाऽपृच्छत्,:क्रृधा,अपृच्छत्,
अपीदं,:अपि,इदं,
ततस्ते,:ततः,ते,
शनैरपक्रमितुं,:शनैः,अपक्रमितुं,
राजगुरुमवदत्,:राजगुरुम्,अवदत्,
इदमसिध्यत्,:इदम्,असिध्यत्,
किमिव,:किम्,इव,
