मुषितोऽस्मि,:मुषितः,अस्मि,
चौरैरपहृतम्,:चौरैः,अपहृतम्,
सोऽवदत्,:सः,अवदत्,
प्रयत्नास्तु,:प्रयत्नाः,तु,
नोपलब्धम्,:न,उपलब्धम्,
नृपेणोक्तम्,:नृपेण,उक्तम्,
निग्रहमिच्छामि,:निग्रहम्,इच्छामि,
व्याकुलाऽऽसीत्,:व्याकुला,आसीत्,
भूपतिरपि,:भूपतिः,अपि,
चिन्तातुरश्च,:चिन्तातुरः,च,
भर्त्सयमानोऽभाषत,:भर्त्सयमानः,अभाषत,
वार्तालापमकार्षीत्,:वार्तालापम्,अकार्षीत्,
बहिश्चागच्छन्,:बहिः,च,आगच्छन्,
तदैव,:तदा,एव,
प्रबुद्धोऽभवत्,:प्रबुद्धः,अभवत्,
उपस्थितोऽभवत्,:उपस्थितः,अभवत्,
नृपोऽपृच्छत्,:नृपः,अपृच्छत्,
ग्रहीतुमेव,:ग्रहीतुम्,एव,
नृपोऽवदत्,:नृपः,अवदत्,
स्मित्वाऽभाषत,:स्मित्वा,अभाषत,
