योऽधिकं,:यः,अधिकं,
प्रीतिर्भोज्येष्वपि,:प्रीतिः,भोज्येषु,अपि,
नावदत्,:न,अवदत्,
यदहं,:यत्,अहं,
तेनालीरामोऽपि,:तेनालीरामः,अपि,
चेष्टितैर्गत्या,:चेष्टितैः,गत्या,
नेत्रवक्त्रविकारैश्च,:नेत्रवक्त्रविकारैः,च,
नायच्छ,:न,अयच्छत्,
तूष्णीमेव,:तूष्णीम्,एव,
अवसरमैच्छत्,:अवसरम्,ऐच्छत्,
तमकथयत्,:तम्,अकथयत्,
तेनालीरामोऽवदत्,:तेनालीरामः,अवदत्,
धनमेव,:धनम्,एव,
तमुपगम्य,:तम्,उपगम्य,
इदमवलोक्य,:इदम्,अवलोक्य,
किमयं,:किम्,अयं,
तत्रैकं,:तत्र,एकं,
सविनयमुवाच,:सविनयम्,उवाच,
अलब्ध्वाऽपि,:अलब्ध्वा,अपि,
तेनावगतः,:तेन,अवगतः,
