किमिति,:किम्,इति,
राज्यस्योपरि,:राज्यस्य,उपरि,
कल्पवृक्षमपि,:कल्पवृक्षम्,अपि,
कर्तुमिष्टवन्तः।,:कर्तुम्,इष्टवन्तः।,
सेवायामानन्देन,:सेवायाम्,आनन्देन,
पूर्णमासीत्।,:पूर्णम्,आसीत्।,
प्रेक्षकाणामाकर्षणकेन्द्रं,:प्रेक्षकाणाम्,आकर्षणकेन्द्रं,
शिखरमासीत्।,:शिखरम्,आसीत्।,
तस्योपरि,:तस्य,उपरि,
कुलभूषणमस्ति?',:कुलभूषणम्,अस्ति?',
जातमस्ति।,:जातम्,अस्ति।,
सर्पाणामेव,:सर्पाणाम्,एव,
कर्तुमिच्छामि',:कर्तुम्,इच्छामि',
पूर्वमेव,:पूर्वम्,एव,
स्वमुखमाच्छाद्य,:स्वमुखम्,आच्छाद्य,
वधशिलायामुपविष्टः।,:वधशिलायाम्,उपविष्टः।,
समीपमागतः।,:समीपम्,आगतः।,
तावदेव,:तावता,एव,
चिह्नमस्ति।,:चिह्नम्,अस्ति।,
भक्ष्यमहमस्मि।,:भक्ष्यम्,अहम्,अस्मि।,
चास्ति।,:च,अस्ति।,
मातरमुक्तवान्,:मातरम्,उक्तवान्,
पुण्याचरणमुपदिशति,:पुण्याचरणम्,उपदिशति,
