एतद्,अविचिन्त्य,:एतत्,अविचिन्त्य,
इच्छा,पूरयति,:इच्छाः,पूरयति,
क्रियामविवेकः,:क्रियाम्,अविवेकः,
सम्मानमपि,:सम्मानम्,अपि,
भयमासीत्।,:भयम्,आसीत्।,
अभिधानमासीत्।,:अभिधानम्,आसीत्।,
कल्याणमेव,:कल्याणम्,एव,
सत्यमेव,:सत्यम्,एव,
उपवेष्टुमिच्छामि।,:उपवेष्टुम्,इच्छामि।,
बालकमपि,:बालकम्,अपि,
'सत्यमेतत्,:'सत्यम्,एतत्,
तस्योपरि,:तस्य,उपरि,
स्वप्नेSपि,:स्वप्ने,अपि,
बुद्धिर्व्यवसायोSपि,:बुद्धिः,व्यवसायः,अपि,
सहायास्तादृशाः,:सहायाः,तादृशाः,
जन्मजन्मान्तरेSपि,:जन्मजन्मान्तरे,अपि,
क्रोधश्च,:क्रोधः,च,
स्थानमस्ति।,:स्थानम्,अस्ति।,
पवित्रो,भव।,:पवित्रः,भव।,
अन्नत्यागमेव,:अन्नत्यागम्,एव,
क्षन्तव्योSहम्।',:क्षन्तव्यः,अहम्।',
ध्येयमासीत्।,:ध्येयम्,आसीत्।,
आश्चर्यमपि,:आश्चर्यम्,अपि,
उच्चारणमपि,:उच्चारणम्,अपि,
जगद्व्यपि,:जगत्,अपि,
उत्तानपादस्यैव,:उत्तानपादस्य,एव,
अलकापुरीमेव,:अलकापुरीम्,एव,
भगवद्दर्शनमपि,:भगवद्दर्शनम्,अपि,
