पितरमुद्दिश्य,:पितरम्,उद्दिश्य,
कष्टेनैव,:कष्टेन,एव,
नेच्छति,:न,इच्छति,
हीब्रूभाषामेव,:हीब्रूभाषाम्,एव,
मासोऽपि,:मासः,अपि,
अधुनैव,:अधुना,एव,
तत्तु,:तत्,तु,
सत्यमेव,:सत्यम्,एव,
तदेव,:तत्,एव,
गमनदिनमपि,:गमनदिनम्,अपि,
बन्धनमपि,:बन्धनम्,अपि,
निर्णीतमेव,:निर्णीतम्,एव,
लोलिकोऽपि,:लोलिकः,अपि,
नागमिष्यामि,:न,आगमिष्यामि,
उक्तमासीत्,:उक्तम्,आसीत्,
तावदेव,:तावत्,एव,
तदेव,:तत्,एव,
तदपि,:तत्,अपि,
सत्यमेव,:सत्यम्,एव,
असम्भाव्यमेव,:असम्भाव्यम्,एव,
गृहाण्यपि,:गृहाणि,अपि,
सत्यमपि,:सत्यम्,अपि,
इत्युक्त्वा,:इति,उक्त्वा,
अधुनैव,:अधुना,एव,
तद्विषये,:तत्,विषये,
आसक्तिरपि,:आसक्तिः,अपि,
करवाम।,:करवामः,।,
एतेनैव,:एतेन,एव,
भवाम",:भवामः,",
किञ्चित्कालानन्तरं,:किञ्चित्,कालानन्तरं,
किमिदम्,:किम्,इदम्,
पुत्रोऽपि,:पुत्रः,अपि,
उचितमेव,:उचितम्,एव,
किमन्यत्,:किम्,अन्यत्,
हीब्रूपुनरुद्धारक,:हीब्रूपुनः,उद्धारक,
अन्येऽपि,:अन्ये,अपि,
मूर्खपितस्त्वं,:मूर्खपितः,त्वं,
प्राचलदेव,:प्राचलत्,एव,
कथंकथमपि,:कथंकथम्,अपि,
भवितुमर्हति,:भवितुम्,अर्हति,
शब्दमपि,:शब्दम्,अपि,
एषोऽपि,:एषः,अपि,
तद्विषये,:तत्,विषये,
नास्मि,:न,अस्मि,
ममापि,:मम,अपि,
पुनरुत्थानाय,:पुनः,उत्थानाय,
सर्वेषामपि,:सर्वेषाम्,अपि,
सोढ्‌वापि,:सोढ्‌वा,अपि,
स्वाभिलषितमेव,:स्वाभिलषितम्,एव,
तत्रापि,:तत्र,अपि,
नास्ति,:न,अस्ति,
एकमेव,:एकम्,एव,
चेति,:च,इति,
एतदेव,:एतत्,एव,
तवापि,:तव,अपि,
बालस्यापि,:बालस्य,अपि,
चेदपि,:चेत्,अपि,
