पुनरायातः,:पुनः,आयातः,
तद्विषये,:तत्,विषये,
मद्वचनेन,:मत्,वचनेन,
त्वदीयमेव,:त्वदीयम्,एव,
दूरादेव,:दूरात्,एव,
तयापि,:तया,अपि,
विश्रान्तेश्च,:विश्रान्तेः,च,
चापि,:च,अपि,
अस्वस्थमपि,:अस्वस्थम्,अपि,
योजयित्वैव,:योजयित्वा,एव,
गन्तव्यमिति,:गन्तव्यम्,इति,
नास्मि,:न,अस्मि,
एतदेव,:एतत्,एव,
त्वदधीनाः,:त्वत्,अधीनाः,
यथेच्छसि,:यथा,इच्छसि,
नष्टप्रायमेव,:नष्टप्रायम्,एव,
नियमेव,:नियमा,एव,
हीब्रूपाठनमपि,:हीब्रूपाठनम्,अपि,
क्रीडितुमेव,:क्रीडितुम्,एव,
नाहं,:न,अहं,
किञ्चिदपि,:किञ्चित्,अपि,
मुखमेव,:मुखम्,एव,
गमनानन्तरमपि,:गमनानन्तरम्,अपि,
किमस्ति,:किम्,अस्ति,
वाचकैश्च,:वाचकैः,च,
नास्ति,:न,अस्ति,
तत्तु,:तत्,तु,
समीचीनमेव,:समीचीनम्,एव,
अन्यच्च,:अन्यत्,च,
सर्वजनस्वीकारयोग्याश्च,:सर्वजनस्वीकारयोग्याः,च,
अन्येषामपि,:अन्येषाम्,अपि,
कियदधिकम्,:कियत्,अधिकम्,
चापि,:च,अपि,
मौनमेव,:मौनम्,एव,
नावगतवती,:न,अवगतवती,
तद्विषये,:तत्,विषये,
सामान्यसम्भाषणपर्यन्तमेव,:सामान्यसम्भाषणपर्यन्तम्,एव,
अध्ययनसमयेऽपि,:अध्ययनसमये,अपि,
ज्ञातमेव,:ज्ञातम्,एव,
किञ्चिदेव,:किञ्चित्,एव,
अन्यदेव,:अन्यत्,एव,
इदमिदानीं,:इदम्,इदानीं,
अन्यच्च,:अन्यत्,च,
मुखादेव,:मुखात्,एव,
तत्कारणादेव,:तत्कारणात्,एव,
उत्तरदायित्वमपि,:उत्तरदायित्वम्,अपि,
