एतत्तु,:एतत्,तु,
विश्वसितुमपि,:विश्वसितुम्,अपि,
प्रकाशितवन्तश्च,:प्रकाशितवन्तः,च,
तद्विषये,:तत्,विषये,
प्राप्यापि,:प्राप्य,अपि,
ज्ञातमेव,:ज्ञातम्,एव,
अत्याधुनिकेऽपि,:अत्याधुनिके,अपि,
नानुभवेत्,:न,अनुभवेत्,
अन्यच्च,:अन्यत्,च,
तद्विषये,:तत्,विषये,
स,च,:सः,च,
कृत्वापि,:कृत्वा,अपि,
तात्पर्यमेव,:तात्पर्यम्,एव,
नासीत्,:न,आसीत्,
तद्विषये,:तत्,विषये,
दृढेच्छा,:दृढा,इच्छा,
धनलोभेनापि,:धनलोभेन,अपि,
नाभूत्,:न,अभूत्,
नानुभूतवान्,:न,अनुभूतवान्,
विषयेऽपि,:विषये,अपि,
एतद्,दृष्ट्वा,:एतत्,दृष्ट्वा,
अत्यल्पमेव,:अत्यल्पम्,एव,
नाचरितम्,:न,आचरितम्,
पश्चात्तापलेशोऽपि,:पश्चात्तापलेशः,अपि,
हीब्रूलेखमपि,:हीब्रूलेखम्,अपि,
