'आनन्दमठ',:'आनन्दमठः,',
शासनकालेऽसौ,:शासनकाले,असौ,
न्यायाधीशपदमलङ्‌कुरुते,:न्यायाधीशपदम्,अलङ्‌कुरुते,
सत्यघटनाऽत्र,:सत्यघटना,अत्र,
वित्तमुपार्जितवान्,:वित्तम्,उपार्जितवान्,
कश्चिच्छात्रः,:कश्चित्,छात्रः,
तज्जनकमसूचयत्,:तत्,जनकम्,असूचयत्,
तवात्मजः,:तव,आत्मजः,
अस्वस्थोऽस्तीति,:अस्वस्थः,अस्ति,इति,
रुग्णतामाकर्ण्य,:रुग्णताम्,आकर्ण्य,
पदातिरेव,:पदातिः,एव,
शक्नोमीति,:शक्नोमि,इति,
वाप्यहितम्,:वापि,अहितम्,
पदवीमतिक्रामन्,:पदवीम्,अतिक्रामन्,
समयेऽप्यसौ,:समये,अपि,असौ,
नैशेऽन्धकारे,:नैशे,अन्धकारे,
कस्यचिदेकाकिनः,:कस्यचित्,एकाकिनः,
कर्तुमियेष,:कर्तुम्,इयेष,
लघीयस्येकस्मिन्,:लघीयस्य,एकस्मिन्,
गृहस्थमुपगतः,:गृहस्थम्,उपगतः,
तमवस्थापयितुं,:तम्,अवस्थापयितुं,
नाभवत्,:न,अभवत्,
ततोऽसौ,:ततः,असौ,
ततोऽपरम्,:ततः,अपरम्,
भ्रान्त्वाऽपि,:भ्रान्त्वा,अपि,
क्वचिच्छरणं,:क्वचित्,शरणं,
मनोदशाऽभवत्,:मनोदशा,अभवत्,
इत्यनुमातुं,:इति,अनुमातुं,
सोऽब्रवीत्,:सः,अब्रवीत्,
अस्मिन्नावसरे,:अस्मिन्,अवसरे,
सुजनोऽप्यत्र,:सुजनः,अपि,अत्र,
कथमेतज्जानीमः,:कथम्,एतत्,जानीमः,
तस्यामेव,:तस्याम्,एव,
निहतामेकां,:निहताम्,एकां,
चादाय,:च,आदाय,
द्वारमुद्घाट्य,:द्वारम्,उद्घाट्य,
धावितुमुपचक्रमे,:धावितुम्,उपचक्रमे,
प्रबुद्धोऽतिथिः,:प्रबुद्धः,अतिथिः,
तमन्वधावत्,:तम्,अन्वधावत्,
अगृह्णाच्च,:अगृह्णात्,च,
विचित्रमघटत,:विचित्रम्,अघटत,
क्रोशितुमारभत,:क्रोशितुम्,आरभत,
बहिरागताः,:बहिः,आगताः,
तमतिथिमेव,:तम्,अतिथिम्,एव,
मत्वाऽभर्त्सयन्,:मत्वा,अभर्त्सयन्,
तत्क्षणमेव,:तत्क्षणम्,एव,
चौरोऽयम्,:चौरः,अयम्,
चाक्षिपत्,:च,अक्षिपत्,
सुखदुःखान्यचिन्तितं,:सुखदुःखानि,अचिन्तितं,
आयान्तीह,:आयान्ति,इह,
वृत्तमवगत्य,:वृत्तम्,अवगत्य,
ततोऽसौ,:ततः,असौ,
पुनरुपस्थाय,:पुनः,उपस्थाय,
तदैव,:तदा,एव,
कश्चिज्जनः,:कश्चित्,जनः,
क्रियतामिति।,:क्रियताम्,इति।,
न्यायाधीशस्तम्,:न्यायाधीशः,तम्,
आनेतुमादिष्टवान्।,:आनेतुम्,आदिष्टवान्।,
तत्रोपेत्य,:तत्र,उपेत्य,
अभियुक्तश्च,:अभियुक्तः,च,
तमुवाच,:तम्,उवाच,
त्वयाऽहं,:त्वया,अहं,
उच्चैर्जहास,:उच्चैः,जहास,
शवमानीय,:शवम्,आनीय,
पुनस्तौ,:पुनः,तौ,
वक्तुमादिष्टौ,:वक्तुम्,आदिष्टौ,
प्रावारकमपसार्य,:प्रावारकम्,अपसार्य,
न्यायाधीशमभिवाद्य,:न्यायाधीशम्,अभिवाद्य,
त्वयाऽहं,:त्वया,अहं,
कारादण्डमादिश्यं,:कारादण्डम्,आदिश्यं,
दुष्कराण्यपि,:दुष्कराणि,अपि,
लीलयैव,:लीलया,एव,
