प्रवचनमकरोत्।,:प्रवचनम्,अकरोत्।,
वर्णनमकरोत्,:वर्णनम्,अकरोत्,
निश्चयमकरोत्,:निश्चयम्,अकरोत्,
अवश्यमेव,:अवश्यम्,एव,
तदैव,:तदा,एव,
गमनमागमनं,:गमनम्,आगमनं,
बहिरागच्छति,:बहिः,आगच्छति,
तदैव,:तदा,एव,
किञ्चिदपि,:किञ्चित्,अपि,
मुकुटमचोरयत्,:मुकुटम्,अचोरयत्,
देवालयमागच्छत्,:देवालयम्,आगच्छत्,
किमस्ति,:किम्,अस्ति,
चास्ति,:च,अस्ति,
पुनश्च,:पुनः,च,
भोजनमपि,:भोजनम्,अपि,
दर्शनमवश्यमेव,:दर्शनम्,अवश्यम्,एव,
स्वागतमकरोत्,:स्वागतम्,अकरोत्,
नास्ति,:न,अस्ति,
अवश्यमेव,:अवश्यम्,एव,
प्रार्थनामकरोत्,:प्रार्थनाम्,अकरोत्,
शीघ्रमेव,:शीघ्रम्,एव,
नासीत्,:न,आसीत्,
तदैव,:तदा,एव,
कुत्रापि,:कुत्र,अपि,
